"","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"406","12","Earl Robertson","1910-11-24","1979-01-19","68","1938","1942","G","190","0","0","0","","0","190","60","95","34","","2.92"
"407","13","Pat Shea","1911-10-29","1978-12-16","67","1932","1932","D","10","0","1","1","","0","","","","","",""
"408","14","Bill Summerhill","1913-07-09","1978-10-29","65","1939","1942","RW","72","14","17","31","","70","","","","","",""
"409","15","Larry Wilson","1930-10-23","1979-08-16","48","1950","1956","C","152","21","48","69","","73","","","","","",""
"410","1","Irwin Boyd","1908-11-13","1979-11-12","70","1932","1944","RW","94","10","10","20","","29","","","","","",""
"411","2","Roy Burmister","1906-08-12","1980-01-19","73","1930","1932","LW","67","4","3","7","","0","","","","","",""
"412","3","Leroy Goldsworthy","1906-10-18","1980-03-16","73","1930","1939","RW","336","66","57","123","","81","","","","","",""
"413","4","George Grigor","1916-09-03","1979-10-07","63","1944","1944","C","2","1","0","1","","0","","","","","",""
"414","5","Ott Heller","1910-06-02","1980-06-15","70","1932","1946","D","649","54","176","230","","467","","","","","",""
"415","6","Rolly Huard","1902-09-06","1979-09-16","77","1931","1931","C","1","1","0","1","","0","","","","","",""
"416","7","Doug Jackson","1924-12-12","1980-04-26","55","1948","1948","G","6","0","0","0","","0","6","1","4","1","","7.00"
"417","8","Gerry Lowrey","1906-02-14","1979-10-20","73","1928","1933","LW","211","47","48","95","","166","","","","","",""
"418","9","Dave MacKay","1919-01-14","1980-05-01","61","1941","1941","D","27","3","0","3","","28","","","","","",""
"419","10","Jack Mann","1919-07-27","1980-07-11","60","1944","1945","C","9","3","4","7","","0","","","","","",""
"420","11","John McCreedy","1911-03-23","1979-12-07","68","1942","1945","RW","64","17","12","29","","25","","","","","",""
"421","12","John McLellan","1928-08-06","1979-10-27","51","1952","1952","C","2","0","0","0","","0","","","","","",""
"422","13","Lynn Patrick","1912-02-03","1980-01-26","67","1935","1946","C/LW","455","145","191","336","","240","","","","","",""
"423","14","Cully Simon","1918-05-08","1980-08-02","62","1943","1945","D","130","4","11","15","","121","","","","","",""
"424","15","Billy Taylor","1942-10-14","1979-09-08","36","1965","1965","C","2","0","0","0","0","0","","","","","",""
"425","16","Bob Trapp","1899-12-16","1979-11-20","79","1927","1928","D","82","4","4","8","","131","","","","","",""
"426","1","Dave Amadio","1939-04-23","1981-04-01","41","1958","1969","D","126","5","11","16","-34","163","","","","","",""
"427","2","Don Ashby","1955-03-08","1981-05-30","26","1976","1981","C","188","40","56","96","-20","40","","","","","",""
"428","3","Gordie Bell","1925-03-13","1980-11-03","55","1946","1946","G","8","0","0","0","","0","8","3","5","0","","3.87"
"429","4","Reg Bentley","1914-05-03","1980-09-01","66","1943","1943","LW","11","1","2","3","","2","","","","","",""
"430","5","Real Chevrefils","1932-05-02","1981-08-01","49","1952","1959","LW","387","104","97","201","","181","","","","","",""
"431","6","Lex Chisholm","1915-04-01","1981-08-06","66","1940","1941","C/RW","61","10","8","18","","30","","","","","",""
"432","7","Armand Delmonte","1927-06-03","1981-04-07","53","1946","1946","RW","1","0","0","0","","0","","","","","",""
"433","8","Ken Doraty","1906-06-23","1981-04-04","74","1927","1938","F","103","15","26","41","","24","","","","","",""
"434","9","Lorne Duguid","1910-04-04","1981-03-21","70","1932","1937","LW","136","9","15","24","","57","","","","","",""
"435","10","Len Grosvenor","1905-07-21","1981-03-15","75","1928","1933","C/RW","150","9","11","20","","82","","","","","",""
"436","11","Rod Lorrain","1914-07-26","1980-10-22","66","1936","1942","RW","174","28","38","66","","30","","","","","",""
"437","12","Clare Martin","1922-02-25","1980-09-23","58","1942","1952","D","237","12","28","40","","78","","","","","",""
"438","13","Irv McGibbon","1914-10-11","1981-02-01","66","1943","1943","RW","1","0","0","0","","2","","","","","",""
"439","14","Roly Rossignol","1921-10-18","1981-05-31","59","1944","1946","RW","14","3","5","8","","6","","","","","",""
"440","15","Herb Stuart","1899-03-30","1981-01-12","81","1927","1927","G","3","0","0","0","","0","3","1","2","0","","1.67"
"441","16","Tiny Thompson","1903-05-31","1981-02-09","77","1929","1940","G","553","0","1","1","","0","553","284","194","75","","2.07"
"442","17","Burr Williams","1909-08-30","1981-02-12","71","1934","1937","D","22","0","1","1","","28","","","","","",""
"443","1","Joe Benoit","1916-02-27","1981-10-19","65","1941","1947","RW","185","75","69","144","","94","","","","","",""
"444","2","Claude Bourque","1915-03-31","1982-05-13","67","1939","1940","G","62","0","0","0","","0","62","18","37","7","","3.01"
"445","3","Bernie Brophy","1905-08-09","1982-07-19","76","1926","1930","LW","62","4","4","8","","25","","","","","",""
"446","4","Mud Bruneteau","1914-11-28","1982-04-15","67","1936","1946","RW","410","141","139","280","","80","","","","","",""
"447","5","Herb Cain","1912-12-24","1982-02-15","69","1934","1946","LW","572","206","192","398","","177","","","","","",""
"448","6","Danny Cox","1903-10-12","1982-08-08","78","1927","1934","LW","319","48","50","98","","110","","","","","",""
"449","7","Tom Dewar","1913-06-10","1982-07-23","69","1944","1944","D","9","0","2","2","","4","","","","","",""
"450","8","Fred Elliott","1903-02-18","1982-08-28","79","1929","1929","RW","43","2","0","2","","8","","","","","",""
"451","9","Claude Evans","1933-04-28","1982-07-07","49","1955","1958","G","5","0","0","0","","0","5","1","2","1",".882","3.69"
"452","10","John Gallagher","1909-01-19","1981-09-16","72","1931","1939","D","204","14","18","32","","151","","","","","",""
"453","11","Art Giroux","1908-06-06","1982-06-05","73","1933","1936","RW","54","6","4","10","","14","","","","","",""
"454","12","Jack Ingoldsby","1924-06-21","1982-08-10","58","1943","1944","RW/D","29","5","1","6","","15","","","","","",""
"455","13","Joe Lamb","1906-06-18","1982-08-21","76","1928","1938","RW","443","110","101","211","","595","","","","","",""
"456","14","Doug McCaig","1919-02-24","1982-06-06","63","1942","1951","D","263","8","21","29","","255","","","","","",""
"457","15","Larry Mickey","1943-10-21","1982-07-23","38","1965","1975","RW","292","39","53","92","-31","160","","","","","",""
"458","16","Des Smith","1914-02-22","1981-09-26","67","1938","1942","D","195","22","26","48","","246","","","","","",""
"459","17","Harold Starr","1906-07-06","1981-09-25","75","1930","1936","D","206","5","4","9","","189","1","0","0","0","","0.00"
"460","1","Baz Bastien","1919-08-29","1983-03-15","63","1946","1946","G","5","0","0","0","","0","5","0","4","1","","4.00"
"461","2","Chuck Dinsmore","1903-07-23","1982-12-05","79","1925","1930","C","100","6","2","8","","50","","","","","",""
"462","3","Bruce Gamble","1938-05-24","1982-12-30","44","1959","1972","G","328","0","1","1","0","24","328","111","152","46",".906","3.23"
"463","4","Tony Hemmerling","1914-05-15","1983-05-23","69","1936","1937","LW","22","3","3","6","","4","","","","","",""
"464","5","James Hughes","1906-05-12","1983-01-04","76","1930","1930","D","40","0","1","1","","60","","","","","",""
"465","6","Walter Jackson","1908-06-03","1982-10-06","74","1933","1936","LW","84","16","11","27","","18","","","","","",""
"466","7","James Jarvis","1907-12-07","1983-05-07","75","1930","1937","LW","112","17","15","32","","64","","","","","",""
"467","8","Joe Jerwa","1907-01-20","1983-04-11","76","1931","1939","D","234","29","58","87","","311","","","","","",""
"468","9","Dunc McCallum","1940-03-29","1983-03-31","43","1966","1971","D","187","14","35","49","-52","230","","","","","",""
"469","10","Dan Olesevich","1937-09-16","1983-07-15","45","1962","1962","G","1","0","0","0","","0","1","0","0","1",".895","4.12"
"470","11","Hugh Plaxton","1904-05-16","1982-12-01","78","1933","1933","LW","17","1","3","4","","4","1","0","1","0","","5.26"
"471","12","Rolly Roulston","1911-04-12","1983-04-24","72","1936","1938","LW/D","24","0","6","6","","10","","","","","",""
"472","13","Gerry Shannon","1910-10-25","1983-05-06","72","1934","1938","LW","180","23","29","52","","80","","","","","",""
"473","14","Jack Stewart","1917-05-06","1983-05-25","66","1939","1952","D","565","31","83","114","","765","","","","","",""
"474","15","Sparky Vail","1906-07-05","1983-01-29","76","1929","1930","D/LW","50","4","1","5","","26","","","","","",""
"475","16","Cy Wentworth","1905-01-24","1982-10-10","77","1928","1940","D","575","39","68","107","","359","","","","","",""
"476","1","Lorne Anderson","1931-07-26","1984-03-20","52","1952","1952","G","3","0","0","0","","0","3","1","2","0","","6.00"
"477","2","Max Bentley","1920-03-01","1984-01-19","63","1941","1954","C","646","245","299","544","","177","","","","","",""
"478","3","Eddie Bush","1918-07-11","1984-05-31","65","1939","1942","D","26","4","6","10","","60","","","","","",""
"479","4","Johnny Gagnon","1905-06-08","1984-03-22","78","1931","1940","RW","454","121","143","264","","292","","","","","",""
"480","5","Paul Gauthier","1915-03-06","1984-03-10","69","1938","1938","G","1","0","0","0","","0","1","0","0","1","","1.71"
"481","6","Bryan Hextall","1913-07-31","1984-07-25","70","1937","1948","RW","449","187","180","367","","227","","","","","",""
"482","7","Jack Howard","1911-10-15","1983-09-14","71","1937","1937","D","2","0","0","0","","0","","","","","",""
"483","8","Rollie McLenahan","1921-10-26","1984-04-23","62","1946","1946","D","8","2","1","3","","10","","","","","",""
"484","9","Charley McVeigh","1898-03-29","1984-05-07","86","1927","1935","C/LW","395","84","89","173","","132","","","","","",""
"485","10","Claude Provost","1933-09-17","1984-04-17","50","1956","1970","RW","1005","254","335","589","101","475","","","","","",""
"486","11","Doc Romnes","1909-01-01","1984-07-21","75","1931","1940","LW/C","360","67","137","204","","40","","","","","",""
"487","12","Red Spooner","1910-08-24","1984-05-07","73","1930","1930","G","1","0","0","0","","0","1","0","1","0","","6.00"
"488","13","Max Sutherland","1907-02-08","1984-02-11","77","1932","1932","LW","2","0","0","0","","0","","","","","",""
"489","14","Rene Trudell","1919-01-31","1984-07-25","65","1946","1948","RW","129","24","28","52","","72","","","","","",""
"490","15","Bill Wylie","1928-07-15","1983-11-24","55","1951","1951","C","1","0","0","0","","0","","","","","",""
"491","1","Cecil Browne","1896-02-13","1985-08-13","89","1928","1928","LW","13","2","0","2","","4","","","","","",""
"492","2","Joe Carveth","1918-03-21","1985-08-15","67","1941","1951","RW","502","150","187","337","","81","","","","","",""
"493","3","Roy Conacher","1916-10-05","1984-12-29","68","1939","1952","LW","490","226","201","427","","88","","","","","",""
"494","4","Baldy Cotton","1902-11-05","1984-09-09","81","1926","1937","LW","503","101","104","205","","449","","","","","",""
"495","5","Abbie Cox","1904-07-19","1985-05-10","80","1930","1936","G","5","0","0","0","","0","5","1","1","2","","2.51"
"496","6","Nels Crutchfield","1911-07-12","1985-07-22","74","1935","1935","C","41","5","5","10","","20","","","","","",""
"497","7","Gerard Desaulniers","1928-12-31","1984-11-26","55","1951","1954","C","8","0","2","2","","4","","","","","",""
"498","8","Don Grosso","1915-04-12","1985-05-14","70","1939","1947","LW/C","335","87","117","204","","88","","","","","",""
"499","9","Ron Hudson","1911-07-14","1984-10-11","73","1938","1940","C","33","5","2","7","","2","","","","","",""
"500","10","John Keating","1908-02-12","1984-11-14","76","1932","1933","LW","35","5","5","10","","19","","","","","",""
"501","11","Butch Keeling","1905-08-10","1984-11-12","79","1927","1938","LW","525","157","64","221","","341","","","","","",""
"502","12","Sam LoPresti","1917-01-30","1984-12-11","67","1941","1942","G","74","0","0","0","","0","74","30","38","6","","3.12"
"503","13","Red Mitchell","1912-09-06","1984-12-05","72","1942","1945","D","83","4","5","9","","67","","","","","",""
"504","14","Harry Oliver","1898-10-26","1985-06-16","86","1927","1937","RW","465","127","85","212","","147","","","","","",""
"505","15","Eddie Shore","1902-11-25","1985-03-16","82","1927","1940","D","551","105","179","284","","1099","","","","","",""
"506","16","Rod Smylie","1895-09-28","1985-03-03","89","1921","1926","W","74","3","2","5","","12","","","","","",""
"507","17","John Sorrell","1906-01-16","1984-11-30","78","1931","1941","LW","490","127","120","247","","100","","","","","",""
"508","18","Gordon Spence","1897-07-25","1984-11-21","87","1926","1926","LW","3","0","0","0","","0","","","","","",""
"509","19","Cooney Weiland","1904-11-05","1985-07-03","80","1929","1939","C","509","173","162","335","","149","","","","","",""
"510","20","Don Wheldon","1954-12-28","1985-06-03","30","1975","1975","D","2","0","0","0","0","0","","","","","",""
"511","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"512","21","Juha Widing","1947-07-04","1984-12-30","37","1970","1977","C","574","144","226","370","-80","208","","","","","",""
"513","1","Murph Chamberlain","1915-02-14","1986-05-08","71","1938","1949","LW","510","100","175","275","","789","","","","","",""
"514","2","Bill Cook","1896-10-09","1986-04-06","89","1927","1937","RW","475","228","138","366","","386","","","","","",""
"515","3","Rosie Couture","1905-07-24","1986-03-01","80","1929","1936","RW","329","48","55","103","","185","","","","","",""
"516","4","Ernie Dickens","1921-06-25","1985-09-27","64","1942","1951","D","278","12","44","56","","98","","","","","",""
"517","5","Clarence Drouillard","1914-03-02","1986-05-03","72","1938","1938","C","10","0","1","1","","0","","","","","",""
"518","6","Jake Forbes","1897-07-04","1985-12-30","88","1920","1933","G","210","0","0","0","","2","210","85","114","11","","2.76"
"519","7","Jimmy Fowler","1915-04-06","1985-10-17","70","1937","1939","D","135","18","29","47","","39","","","","","",""
"520","8","Ebbie Goodfellow","1907-04-09","1985-09-10","78","1930","1943","C/D","557","135","191","326","","511","","","","","",""
"521","9","Johnny Gottselig","1905-06-24","1986-05-15","80","1929","1945","LW","591","176","196","372","","211","","","","","",""
"522","10","Alex Gray","1899-06-21","1986-04-10","86","1928","1929","RW","50","7","1","8","","30","","","","","",""
"523","11","Red Hamill","1917-01-11","1985-12-12","68","1938","1951","LW","429","128","94","222","","170","","","","","",""
"524","12","Hec Highton","1923-12-10","1985-09-28","61","1944","1944","G","24","0","0","0","","0","24","10","14","0","","4.50"
"525","13","Jim Jamieson","1922-03-21","1985-12-26","63","1944","1944","D","1","0","1","1","","0","","","","","",""
"526","14","Aurele Joliat","1901-08-29","1986-06-02","84","1923","1938","LW","655","269","194","463","","766","","","","","",""
"527","15","Benjamin LaPrairie","1911-10-20","1986-04-20","74","1937","1937","D","7","0","0","0","","0","","","","","",""
"528","16","Pelle Lindbergh","1959-05-24","1985-11-10","26","1982","1986","G","157","0","5","5","0","10","157","87","49","15",".887","3.31"
"529","17","Jacques Locas","1926-02-12","1985-09-26","59","1948","1949","RW","59","7","8","15","","66","","","","","",""
"530","18","Kilby MacDonald","1914-09-06","1986-05-11","71","1940","1945","LW","152","36","34","70","","47","","","","","",""
"531","19","Bill Miller","1908-08-01","1986-06-12","77","1935","1937","C/D","95","7","3","10","","16","","","","","",""
"532","20","George Owen","1901-02-12","1986-03-04","85","1929","1933","D","183","44","33","77","","151","","","","","",""
"533","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"534","21","Gord Pettinger","1911-11-11","1986-04-12","74","1933","1940","C","292","42","72","114","","77","","","","","",""
"535","22","Jacques Plante","1929-01-17","1986-02-27","57","1953","1973","G","837","0","8","8","0","92","837","437","246","145",".920","2.38"
"536","23","Leo Quenneville","1900-06-15","1986-04-09","85","1930","1930","LW/C","25","0","3","3","","10","","","","","",""
"537","24","Reg Reid","1899-02-17","1986-01-14","86","1925","1926","LW","39","1","0","1","","4","","","","","",""
"538","25","Gus Rivers","1909-11-19","1985-10-15","75","1930","1932","RW","88","4","5","9","","10","","","","","",""
"539","1","Buddy Boone","1932-09-11","1986-09-01","53","1958","1958","RW","34","5","3","8","","28","","","","","",""
"540","2","Stan Brown","1898-05-09","1987-07-06","89","1927","1928","D","50","8","3","11","","18","","","","","",""
"541","3","Alain Caron","1938-04-27","1986-12-18","48","1968","1969","RW","61","9","13","22","-23","18","","","","","",""
"542","4","King Clancy","1903-02-25","1986-11-08","83","1922","1937","D","592","137","150","287","","914","2","0","0","0","","20.00"
"543","5","Gordie Drillon","1913-10-23","1986-09-23","72","1937","1943","RW","312","155","140","295","","56","","","","","",""
"544","6","Red Dutton","1897-07-23","1987-03-15","89","1927","1936","D","449","28","68","96","","884","","","","","",""
"545","7","Hec Fowler","1892-10-14","1987-07-30","94","1925","1925","G","7","0","0","0","","0","7","1","6","0","","6.16"
"546","8","Alex Kaleta","1919-11-29","1987-07-09","67","1942","1951","LW","387","92","121","213","","202","","","","","",""
"547","9","Nick Knott","1920-07-23","1987-04-12","66","1942","1942","D","14","3","1","4","","9","","","","","",""
"548","10","Alan Kuntz","1919-06-04","1987-03-07","67","1942","1946","LW","45","10","12","22","","12","","","","","",""
"549","11","Myles Lane","1905-10-02","1987-08-06","81","1929","1934","D","71","4","1","5","","53","","","","","",""
"550","12","John Mariucci","1916-05-08","1987-03-23","70","1941","1948","D","224","11","34","45","","328","","","","","",""
"551","13","Eddie McCalmon","1902-05-30","1987-04-23","84","1928","1931","RW","39","5","0","5","","12","","","","","",""
"552","14","Gord McFarlane","1901-07-18","1987-03-02","85","1927","1927","RW/D","2","0","0","0","","0","","","","","",""
"553","15","Ed Nicholson","1923-09-09","1987-01-15","63","1948","1948","D","1","0","0","0","","0","","","","","",""
"554","16","Baldy Northcott","1908-09-07","1986-11-07","78","1929","1939","D/LW","448","133","112","245","","271","","","","","",""
"555","17","Earl Robinson","1907-03-11","1986-09-12","79","1929","1940","RW/C","419","83","98","181","","151","","","","","",""
"556","18","Eddie Rodden","1901-03-22","1986-09-10","85","1927","1931","C","90","6","14","20","","60","","","","","",""
"557","19","Sam Rothschild","1899-10-16","1987-04-15","87","1925","1928","LW","100","8","7","15","","25","","","","","",""
"558","20","Joe Shack","1915-12-08","1987-05-05","71","1943","1945","LW","70","9","27","36","","20","","","","","",""
"559","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"560","21","Cliff Simpson","1923-04-04","1987-05-30","64","1947","1947","C","6","0","1","1","","0","","","","","",""
"561","22","Peter Slobodian","1918-04-24","1986-11-17","68","1941","1941","D","41","3","2","5","","56","","","","","",""
"562","23","Phil Stein","1913-09-13","1987-04-04","73","1940","1940","G","1","0","0","0","","0","1","0","0","1","","1.71"
"563","24","Jacques Toupin","1910-11-10","1987-02-17","76","1944","1944","RW","8","1","2","3","","0","","","","","",""
"564","1","Pete Backor","1919-04-29","1988-06-30","69","1945","1945","D","36","4","5","9","","6","","","","","",""
"565","2","Conrad Bourcier","1915-05-28","1987-10-05","72","1936","1936","C","6","0","0","0","","0","","","","","",""
"566","3","Norm Calladine","1916-07-30","1988-03-23","71","1943","1945","C","63","19","29","48","","8","","","","","",""
"567","4","Neil Colville","1914-08-04","1987-12-26","73","1936","1949","C/D","465","100","166","266","","213","","","","","",""
"568","5","Bun Cook","1903-09-18","1988-03-19","84","1927","1937","LW","477","158","146","304","","458","","","","","",""
"569","6","Chuck Corrigan","1916-05-22","1988-06-23","72","1938","1941","RW","18","2","2","4","","2","","","","","",""
"570","7","Obs Heximer","1910-02-16","1988-07-16","78","1930","1935","LW/C","84","13","7","20","","16","","","","","",""
"571","8","Ron Ingram","1933-07-05","1988-06-30","54","1957","1965","D","114","5","15","20","-20","81","","","","","",""
"572","9","Bingo Kampman","1914-03-12","1987-12-22","73","1938","1942","D","189","14","30","44","","287","","","","","",""
"573","10","Gaston Leroux","1913-01-09","1988-08-29","75","1936","1936","D","2","0","0","0","","0","","","","","",""
"574","11","Joe Matte","1909-03-15","1988-05-16","79","1930","1943","D","24","0","3","3","","8","","","","","",""
"575","12","Jack McGill","1910-11-03","1988-08-21","77","1935","1937","LW","134","27","10","37","","71","","","","","",""
"576","13","Barclay Plager","1941-03-26","1988-02-06","46","1968","1977","D","614","44","187","231","61","1115","","","","","",""
"577","14","Jack Pratt","1906-04-13","1988-01-11","81","1931","1932","C/D","37","2","0","2","","42","","","","","",""
"578","15","Ernie Roche","1930-02-04","1988-01-02","57","1951","1951","D","4","0","0","0","","2","","","","","",""
"579","16","Lars-Erik SjÃ¶berg","1944-04-05","1987-10-20","43","1980","1980","D","79","7","27","34","-33","48","","","","","",""
"580","17","Normie Smith","1908-03-18","1988-02-02","79","1932","1945","G","198","0","0","0","","0","198","81","82","35","","2.33"
"581","18","Brian Spencer","1949-09-03","1988-06-03","38","1970","1979","LW","553","80","143","223","-52","634","","","","","",""
"582","19","Bob Woytowich","1941-08-18","1988-07-30","46","1965","1972","D","504","32","126","158","-161","354","","","","","",""
"583","1","Ab DeMarco","1916-05-10","1989-05-25","73","1939","1947","C","210","72","95","167","","51","","","","","",""
"584","2","Jean-Paul Denis","1924-02-28","1989-01-03","64","1947","1950","RW","10","0","2","2","","2","","","","","",""
"585","3","Hap Emms","1905-01-12","1988-10-23","83","1927","1938","LW/D","330","36","53","89","","324","","","","","",""
"586","4","Art Gagne","1897-10-11","1988-10-06","90","1927","1932","RW","228","67","34","101","","259","","","","","",""
"587","5","Milt Halliday","1906-09-21","1989-08-16","82","1927","1929","LW","67","1","0","1","","4","","","","","",""
"588","6","Paul Haynes","1910-03-01","1989-05-12","79","1931","1941","C","384","61","133","194","","164","","","","","",""
"589","7","Art Herchenratter","1917-11-24","1989-08-01","71","1941","1941","LW","10","1","2","3","","2","","","","","",""
"590","8","Charles Pletsch","1892-07-22","1989-01-02","96","1921","1921","D","1","0","0","0","","","","","","","",""
"591","9","Babe Pratt","1916-01-07","1988-12-16","72","1936","1947","D","518","83","210","293","","491","","","","","",""
"592","10","Joe Primeau","1906-01-29","1989-05-14","83","1928","1936","C","310","66","177","243","","105","","","","","",""
"593","11","Jack Shewchuk","1917-06-19","1989-05-15","71","1939","1945","D","187","9","19","28","","160","","","","","",""
"594","12","BjÃ¸rn Skaare","1958-10-29","1989-06-21","30","1979","1979","C","1","0","0","0","0","0","","","","","",""
"595","13","Bill Speer","1942-03-20","1989-02-12","46","1968","1971","D","130","5","20","25","-22","79","","","","","",""
"596","14","Barry Sullivan","1927-09-21","1989-06-05","61","1948","1948","RW","1","0","0","0","","0","","","","","",""
"597","15","Connie Tudin","1917-09-21","1988-10-24","71","1942","1942","C","4","0","1","1","","4","","","","","",""
"598","16","Frank Waite","1905-04-09","1989-07-18","84","1931","1931","C","17","1","3","4","","4","","","","","",""
"599","17","Marty Zoborosky","1916-11-12","1989-06-01","72","1945","1945","D","1","0","0","0","","2","","","","","",""
"600","1","Pete Bessone","1913-01-13","1989-12-05","76","1938","1938","D","6","0","1","1","","6","","","","","",""
"601","2","Buzz Boll","1911-03-06","1990-01-01","78","1934","1944","LW","437","133","130","263","","186","","","","","",""
"602","3","Red Carr","1916-12-29","1990-05-16","73","1944","1944","LW","5","0","1","1","","4","","","","","",""
"603","4","Bert Connelly","1909-04-22","1990-07-02","81","1935","1938","LW","87","13","15","28","","37","","","","","",""
"604","5","Jimmy Creighton","1905-11-18","1990-05-29","84","1931","1931","F","11","1","0","1","","2","","","","","",""
"605","6","Hap Day","1901-06-14","1990-02-17","88","1925","1938","D","586","86","121","207","","597","","","","","",""
"606","7","Gerry Denoird","1902-08-04","1989-10-08","87","1923","1923","C","1","0","0","0","","0","","","","","",""
"607","8","Lloyd Gronsdahl","1921-05-10","1989-12-15","68","1942","1942","RW","10","1","2","3","","0","","","","","",""
"608","9","Doug Harvey","1924-12-19","1989-12-26","65","1948","1969","D","1113","88","452","540","46","1225","","","","","",""
"609","10","Ken Kilrea","1919-01-16","1990-01-14","70","1939","1944","LW","91","16","24","40","","8","","","","","",""
"610","11","Mike Labadie","1932-08-17","1990-04-17","57","1953","1953","RW","3","0","0","0","","0","","","","","",""
"611","12","Albert Leduc","1902-11-22","1990-07-31","87","1926","1935","D","383","57","36","93","","622","1","0","1","0","","30.00"
"612","13","Bill MacKenzie","1911-12-12","1990-05-29","78","1934","1940","D","233","11","10","21","","132","","","","","",""
"613","14","Georges Mantha","1908-11-29","1990-01-25","81","1929","1941","D/LW","488","90","103","193","","146","","","","","",""
"614","15","Don McFadyen","1907-03-24","1990-05-26","83","1933","1936","C/LW","176","12","34","46","","77","","","","","",""
"615","16","Nick Metz","1914-02-16","1990-08-24","76","1935","1948","LW","517","131","119","250","","149","","","","","",""
"616","17","Butch Schaeffer","1911-11-07","1989-09-28","77","1937","1937","D","5","0","0","0","","6","","","","","",""
"617","18","Sweeney Schriner","1911-11-30","1990-07-04","78","1935","1946","LW","484","201","206","407","","148","","","","","",""
"618","19","Earl Seibert","1911-12-07","1990-05-12","78","1932","1946","D","657","89","187","276","","766","","","","","",""
"619","20","Billy Taylor","1919-05-03","1990-06-12","71","1940","1948","C","321","87","179","266","","120","","","","","",""
"620","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"621","21","Doug Young","1908-10-01","1990-05-15","81","1932","1941","D","388","35","45","80","","305","1","0","0","0","","2.86"
"622","1","Bob Armstrong","1931-04-07","1990-11-06","59","1951","1962","D","541","13","86","99","-38","671","","","","","",""
"623","2","Walt Atanas","1923-12-22","1991-08-08","67","1945","1945","RW","49","13","8","21","","40","","","","","",""
"624","3","Red Beattie","1907-10-02","1990-12-26","83","1931","1939","LW","329","62","85","147","","134","","","","","",""
"625","4","Ralph Bowman","1911-06-20","1990-10-17","79","1934","1940","D","281","8","17","25","","267","","","","","",""
"626","5","Bob Davie","1912-09-12","1990-10-27","78","1934","1936","D","41","0","1","1","","25","","","","","",""
"627","6","Bob Dill","1920-04-25","1991-04-16","70","1944","1945","D","76","15","15","30","","135","","","","","",""
"628","7","Benny Grant","1908-07-14","1991-07-30","83","1929","1944","G","53","0","0","0","","0","53","18","27","5","","3.73"
"629","8","Lloyd Gross","1905-09-05","1990-12-11","85","1927","1935","LW","52","11","4","15","","22","","","","","",""
"630","9","Reg Hamilton","1914-04-29","1991-06-12","77","1936","1947","D","425","21","87","108","","412","","","","","",""
"631","10","Red Heron","1917-12-31","1990-12-14","72","1939","1942","C","106","21","19","40","","38","","","","","",""
"632","11","Wayne Hillman","1938-11-13","1990-11-24","52","1962","1973","D","691","18","86","104","-29","532","","","","","",""
"633","12","Al Huggins","1910-12-21","1991-07-28","80","1931","1931","LW","20","1","1","2","","0","","","","","",""
"634","13","Bing Juckes","1926-06-14","1990-12-31","64","1948","1950","LW","16","2","1","3","","6","","","","","",""
"635","14","Jack Lancien","1923-06-14","1991-06-07","67","1947","1951","D","63","1","5","6","","35","","","","","",""
"636","15","Alex Levinsky","1910-02-02","1990-09-01","80","1931","1939","D","367","19","49","68","","307","1","0","0","0","","60.00"
"637","16","Herbie Lewis","1906-04-17","1991-01-20","84","1929","1939","LW","484","147","161","308","","248","","","","","",""
"638","17","Bucko McDonald","1914-10-31","1991-07-21","76","1935","1945","D","446","35","88","123","","206","","","","","",""
"639","18","George McNaughton","1897-04-04","1991-02-06","93","1920","1920","RW/C","1","0","0","0","","0","","","","","",""
"640","19","Ellie Pringle","1911-08-31","1990-10-03","79","1931","1931","D","6","0","0","0","","0","","","","","",""
"641","20","Les Ramsay","1920-07-01","1990-09-01","70","1945","1945","LW","11","2","2","4","","2","","","","","",""
"642","Rk","Name","Birth Date","Death Date","Age at Death","From","To","Pos","GP","G","A","PTS","+/-","PIM","GP","W","L","T/O","SV%","GAA"
"643","21","John Sherf","1913-04-08","1991-08-19","78","1936","1944","LW","19","0","0","0","","8","","","","","",""
"644","22","Fred Shero","1925-10-23","1990-11-24","65","1948","1950","D","145","6","14","20","","137","","","","","",""
"645","23","Bill Sweeney","1937-01-30","1991-03-21","54","1960","1960","C","4","1","0","1","-3","0","","","","","",""
"646","24","Harvey Teno","1915-02-15","1990-09-09","75","1939","1939","G","5","0","0","0","","0","5","2","3","0","","3.00"
"647","25","Jimmy Thomson","1927-02-23","1991-05-18","64","1946","1958","D","787","19","215","234","","920","","","","","",""
