Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,DOB Year,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Alex Killorn,L,1989-09-14,5,706,166,227,393,424,0:36,17:05,3.5,174,198,-24,0.87,0.98,-0.12,191,6,0,0,1,L,L,1989-09-14,1989,Halifax,NS,CAN,CAN,73,199,2007,3,77,20122013,2012,N,706,166,227,393
Steven Stamkos,C,1990-02-07,5,905,468,468,936,539,0:35,19:16,3.1,--,244,--,--,--,--,235,5,0,4,0,R,C,1990-02-07,1990,Markham,ON,CAN,CAN,73,193,2008,1,1,20082009,2008,N,905,468,468,936
Patrice Cormier,C,1990-06-14,5,52,1,4,5,18,0:20,7:13,4.8,15,6,9,2.4,0.96,1.44,4,2,0,0,0,L,C,1990-06-14,1990,Moncton,NB,CAN,CAN,74,215,2008,2,54,20102011,2010,N,52,1,4,5
Greg Pateryn,D,1990-06-20,5,290,5,39,44,178,0:36,16:47,3.7,25,72,-47,0.31,0.89,-0.58,64,6,0,0,2,R,D,1990-06-20,1990,Sterling Heights,MI,USA,USA,74,221,2008,5,128,20122013,2012,N,290,5,39,44
Tye McGinn,L,1990-07-29,5,89,9,8,17,44,0:29,10:48,4.6,21,15,6,1.31,0.94,0.37,11,4,0,0,0,L,L,1990-07-29,1990,Fergus,ON,CAN,CAN,75,218,2010,4,119,20122013,2012,N,89,9,8,17
Nick Jensen,D,1990-09-21,5,392,13,75,88,108,0:16,18:03,1.5,65,48,17,0.55,0.41,0.14,44,4,0,0,0,R,D,1990-09-21,1990,Rogers,MN,USA,USA,73,205,2009,5,149,20162017,2016,N,393,13,75,88
Gabriel Dumont,C,1990-10-06,5,90,4,5,9,48,0:32,9:24,5.7,26,18,8,1.84,1.28,0.57,14,4,0,0,0,R,C,1990-10-06,1990,Degelis,QC,CAN,CAN,70,195,2009,5,138,20112012,2011,N,90,4,5,9
Stephen Johns,D,1992-04-18,5,167,15,18,33,93,0:33,17:50,3.1,19,38,-19,0.38,0.77,-0.38,33,5,0,0,0,R,D,1992-04-18,1992,Ellwood City,PA,USA,USA,76,225,2010,2,60,20152016,2015,N,167,15,18,33
Scott Wilson,C,1992-04-24,5,193,20,31,51,58,0:18,11:23,2.6,36,18,18,0.98,0.49,0.49,13,4,0,1,0,L,C,1992-04-24,1992,Oakville,ON,CAN,CAN,71,177,2011,7,209,20142015,2014,N,193,20,31,51
Zach Hyman,L,1992-06-09,5,405,107,121,228,231,0:34,17:54,3.2,120,99,21,0.99,0.82,0.17,92,5,0,1,1,R,L,1992-06-09,1992,Toronto,ON,CAN,CAN,73,211,2010,5,123,20152016,2015,N,406,108,121,229
Wayne Maki,L,1944-11-10,5,246,57,79,136,182,0:44,--,--,--,58,--,--,--,--,46,6,0,5,1,L,L,1944-11-10,1944,Sault Ste. Marie,ON,CAN,CAN,72,185,--,--,--,19671968,1967,N,246,57,79,136
Jimmy Vesey,L,1993-05-26,5,416,71,63,134,104,0:15,14:18,1.8,69,42,27,0.7,0.42,0.27,37,4,0,1,0,L,L,1993-05-26,1993,Boston,MA,USA,USA,75,202,2012,3,66,20162017,2016,N,416,71,63,134
Matt Benning,D,1994-05-25,5,355,16,59,75,191,0:32,15:58,3.4,68,80,-12,0.72,0.85,-0.13,73,5,0,2,0,R,D,1994-05-25,1994,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,2016,N,355,16,59,75
Dan Renouf,D,1994-06-01,5,23,0,3,3,23,1:00,10:58,9.1,5,7,-2,1.19,1.66,-0.48,4,3,0,0,0,L,D,1994-06-01,1994,Pickering,ON,CAN,CAN,75,200,--,--,--,20162017,2016,N,23,0,3,3
Zach Aston-Reese,C,1994-08-10,5,215,29,33,62,93,0:25,13:42,3.2,28,39,-11,0.57,0.79,-0.22,34,5,0,0,0,L,C,1994-08-10,1994,Staten Island,NY,USA,USA,72,204,--,--,--,20172018,2017,N,215,29,33,62
Zach Sanford,L,1994-11-09,5,275,47,45,92,121,0:26,13:23,3.3,53,53,0,0.86,0.86,0,48,5,0,0,0,L,L,1994-11-09,1994,Salem,MA,USA,USA,76,206,2013,2,61,20162017,2016,N,275,47,45,92
Nicholas Paul,L,1995-03-20,5,231,30,37,67,77,0:20,14:29,2.3,39,31,8,0.7,0.56,0.14,26,5,0,0,0,L,L,1995-03-20,1995,Mississauga,ON,CAN,CAN,75,224,2013,4,101,20152016,2015,N,231,30,37,67
Pavel Buchnevich,L,1995-04-17,5,356,100,145,245,146,0:24,16:16,2.5,80,56,24,0.83,0.58,0.25,48,6,1,0,1,L,L,1995-04-17,1995,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,2016,N,357,100,146,246
Connor Clifton,D,1995-04-28,5,142,5,12,17,95,0:40,16:37,4,32,38,-6,0.81,0.97,-0.15,33,5,0,0,0,R,D,1995-04-28,1995,Long Branch,NJ,USA,USA,71,189,2013,5,133,20182019,2018,N,142,5,12,17
Kyle Burroughs,D,1995-07-12,5,41,1,5,6,38,0:55,12:31,7.4,11,13,-2,1.29,1.52,-0.23,9,4,0,0,0,R,D,1995-07-12,1995,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,2020,N,41,1,5,6
Nikolaj Ehlers,L,1996-02-14,5,463,156,184,340,161,0:20,16:39,2.1,192,73,119,1.49,0.57,0.93,68,5,0,0,0,L,L,1996-02-14,1996,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,2015,N,463,156,184,340
Marcus Pettersson,D,1996-05-08,5,283,8,67,75,161,0:34,16:52,3.4,35,69,-34,0.44,0.87,-0.43,63,5,0,1,0,L,D,1996-05-08,1996,Skellefteå,--,SWE,SWE,75,177,2014,2,38,20172018,2017,N,283,8,67,75
Nicolas Aube-Kubel,R,1996-05-10,5,155,17,26,43,106,0:41,10:14,6.7,29,46,-17,1.1,1.74,-0.64,42,4,0,0,0,R,R,1996-05-10,1996,Slave Lake,AB,CAN,CAN,71,187,2014,2,48,20182019,2018,N,155,17,26,43
Jared McCann,L,1996-05-31,5,410,89,103,192,134,0:19,14:04,2.3,105,60,45,1.09,0.62,0.47,56,4,0,0,0,L,L,1996-05-31,1996,Stratford,ON,CAN,CAN,73,185,2014,1,24,20152016,2015,N,411,90,103,193
Jake Virtanen,R,1996-08-17,5,317,55,45,100,219,0:41,12:45,5.4,76,83,-7,1.13,1.23,-0.1,74,5,0,2,2,R,R,1996-08-17,1996,Langley,BC,CAN,CAN,73,226,2014,1,6,20152016,2015,N,317,55,45,100
Brandon Carlo,D,1996-11-26,5,387,20,48,68,223,0:34,20:08,2.9,46,100,-54,0.35,0.77,-0.42,94,5,0,1,0,R,D,1996-11-26,1996,Colorado Springs,CO,USA,USA,78,220,2015,2,37,20162017,2016,N,387,20,48,68
Anthony Cirelli,C,1997-07-15,5,278,63,88,151,142,0:30,17:01,3,111,53,58,1.41,0.67,0.74,46,4,0,3,0,L,C,1997-07-15,1997,Etobicoke,ON,CAN,CAN,72,191,2015,3,72,20172018,2017,N,278,63,88,151
Charlie McAvoy,D,1997-12-21,5,297,32,132,164,229,0:46,23:11,3.3,79,106,-27,0.69,0.92,-0.24,101,5,0,0,0,R,D,1997-12-21,1997,Long Beach,NY,USA,USA,73,211,2016,1,14,20172018,2017,N,297,32,132,164
Michael Pezzetta,L,1998-03-13,5,44,5,3,8,68,1:32,7:45,19.9,15,19,-4,2.64,3.34,-0.7,13,4,0,2,0,L,L,1998-03-13,1998,Toronto,ON,CAN,CAN,73,216,2016,6,160,20212022,2021,N,44,5,3,8
Elmer Lach,C,1918-01-22,4,664,215,408,623,478,0:43,--,--,--,211,--,--,--,--,199,8,1,3,0,L,C,1918-01-22,1918,Nokomis,SK,CAN,CAN,70,165,--,--,--,19401941,1940,Y,664,215,408,623
Leo Reise Jr.,D,1922-06-07,4,494,28,81,109,397,0:48,--,--,--,179,--,--,--,--,171,5,0,3,0,L,D,1922-06-07,1922,Stoney Creek,ON,CAN,CAN,72,205,--,--,--,19451946,1945,N,494,28,81,109
Fred Hucul,D,1931-12-04,4,162,11,30,41,113,0:41,--,--,--,49,--,--,--,--,44,5,0,0,0,L,D,1931-12-04,1931,Tuberose,SK,CAN,CAN,70,170,--,--,--,19501951,1950,N,162,11,30,41
Bronco Horvath,C,1930-03-12,4,434,141,185,326,313,0:43,--,--,--,105,--,--,--,--,89,5,1,8,2,L,C,1930-03-12,1930,Port Colborne,ON,CAN,CAN,71,185,--,--,--,19551956,1955,N,434,141,185,326
Ralph Nattrass,D,1925-05-26,4,223,18,38,56,308,1:22,--,--,--,132,--,--,--,--,124,4,0,2,2,R,D,1925-05-26,1925,Gainsborough,SK,CAN,CAN,72,185,--,--,--,19461947,1946,N,223,18,38,56
Bob Turner,D,1934-01-31,4,478,19,51,70,307,0:38,--,--,--,135,--,--,--,--,126,7,0,2,0,L,D,1934-01-31,1934,Regina,SK,CAN,CAN,72,170,--,--,--,19551956,1955,N,478,19,51,70
Ian Cushenan,D,1933-11-29,4,129,3,11,14,132,1:01,--,--,--,48,--,--,--,--,41,4,1,2,0,L,D,1933-11-29,1933,Hamilton,ON,CAN,CAN,74,195,--,--,--,19561957,1956,N,129,3,11,14
Al Langlois,D,1934-11-06,4,498,21,91,112,484,0:58,--,--,--,205,--,--,--,--,192,6,0,7,0,L,D,1934-11-06,1934,Magog,QC,CAN,CAN,72,205,--,--,--,19571958,1957,N,498,21,91,112
Vic Lynn,L,1925-01-26,4,327,49,76,125,274,0:50,--,--,--,104,--,--,--,--,92,6,0,5,1,L,L,1925-01-26,1925,Saskatoon,SK,CAN,CAN,70,175,--,--,--,19421943,1942,N,327,49,76,125
Lou Angotti,C,1938-01-16,4,653,103,186,289,220,0:20,--,--,--,101,--,--,--,--,95,6,0,0,0,R,C,1938-01-16,1938,Toronto,ON,CAN,CAN,69,170,--,--,--,19641965,1964,N,653,103,186,289
Kenny Wharram,R,1933-07-02,4,766,252,281,533,220,0:17,--,--,--,104,--,--,--,--,100,4,0,0,0,R,R,1933-07-02,1933,North Bay,ON,CAN,CAN,69,160,--,--,--,19511952,1951,N,766,252,281,533
Joe Klukay,L,1922-11-06,4,566,109,127,236,189,0:20,--,--,--,86,--,--,--,--,82,3,0,1,0,L,L,1922-11-06,1922,Sault Ste. Marie,ON,CAN,CAN,72,182,--,--,--,19461947,1946,N,566,109,127,236
Ab McDonald,L,1936-02-18,4,762,182,248,430,198,0:15,--,--,--,85,--,--,--,--,79,4,0,2,0,L,L,1936-02-18,1936,Winnipeg,MB,CAN,CAN,75,192,--,--,--,19581959,1958,N,762,182,248,430
Sid Abel,C,1918-02-22,4,612,188,284,472,376,0:36,--,--,--,164,--,--,--,--,153,8,0,3,0,L,C,1918-02-22,1918,Melville,SK,CAN,CAN,71,170,--,--,--,19381939,1938,Y,612,188,284,472
Dale Rolfe,D,1940-04-30,4,509,25,125,150,556,1:05,--,--,--,257,--,--,--,--,248,6,1,2,0,L,D,1940-04-30,1940,Timmins,ON,CAN,CAN,76,210,--,--,--,19591960,1959,N,509,25,125,150
Bobby Rousseau,R,1940-07-26,4,942,245,458,703,357,0:22,--,--,--,142,--,--,--,--,131,3,0,7,1,R,R,1940-07-26,1940,Montreal,QC,CAN,CAN,70,178,--,--,--,19601961,1960,N,942,245,458,703
John Miszuk,D,1940-09-29,4,237,7,39,46,232,0:58,--,--,--,106,--,--,--,--,101,4,0,1,0,L,D,1940-09-29,1940,Naliboki,--,POL,POL,73,192,--,--,--,19631964,1963,N,237,7,39,46
Bruce MacGregor,C,1941-04-26,4,895,213,257,470,215,0:14,--,--,--,91,--,--,--,--,85,3,0,3,0,R,C,1941-04-26,1941,Edmonton,AB,CAN,CAN,70,180,--,--,--,19601961,1960,N,895,213,257,470
Ted Taylor,L,1942-02-25,4,166,23,35,58,184,1:06,--,--,--,82,--,--,--,--,77,4,1,0,0,L,L,1942-02-25,1942,Brandon,MB,CAN,CAN,72,174,--,--,--,19641965,1964,N,166,23,35,58
Poul Popiel,D,1943-02-28,4,225,13,41,54,212,0:56,--,--,--,92,--,--,--,--,86,4,0,1,1,L,D,1943-02-28,1943,Sollested,--,DNK,DNK,70,175,--,--,--,19651966,1965,N,225,13,41,54
Ron Schock,C,1943-12-19,4,909,166,351,517,258,0:17,--,--,--,118,--,--,--,--,113,4,0,1,0,L,C,1943-12-19,1943,Chapleau,ON,CAN,CAN,71,180,--,--,--,19631964,1963,N,909,166,351,517
Stan Gilbertson,L,1944-10-29,4,428,85,89,174,148,0:20,--,--,--,68,--,--,--,--,64,4,0,0,0,L,L,1944-10-29,1944,Duluth,MN,USA,USA,72,175,--,--,--,19711972,1971,N,428,85,89,174
Dennis Hull,L,1944-11-19,4,959,303,351,654,259,0:16,--,--,--,118,--,--,--,--,112,5,0,0,1,L,L,1944-11-19,1944,Point Anne,ON,CAN,CAN,71,198,--,--,--,19641965,1964,N,959,303,351,654
Danny O'Shea,C,1945-06-15,4,369,64,115,179,267,0:43,--,--,--,121,--,--,--,--,116,3,0,2,0,L,C,1945-06-15,1945,Toronto,ON,CAN,CAN,73,190,--,--,--,19681969,1968,N,369,64,115,179
Ron Anderson,R,1945-07-29,4,251,28,30,58,146,0:34,--,--,--,63,--,--,--,--,58,4,0,1,0,R,R,1945-07-29,1945,Red Deer,AB,CAN,CAN,72,170,--,--,--,19671968,1967,N,251,28,30,58
Ron Anderson,R,1945-07-29,4,28,9,7,16,8,0:17,--,--,--,4,--,--,--,--,4,0,0,0,0,R,R,1945-07-29,1945,Red Deer,AB,CAN,CAN,72,170,--,--,--,19671968,1967,N,251,28,30,58
Dennis Kearns,D,1945-09-27,4,677,31,290,321,386,0:34,--,--,--,175,--,--,--,--,168,4,0,1,2,L,D,1945-09-27,1945,Kingston,ON,CAN,CAN,69,185,--,--,--,19711972,1971,N,677,31,290,321
Chico Maki,R,1939-08-17,4,841,143,293,436,345,0:24,--,--,--,152,--,--,--,--,145,3,0,4,0,R,R,1939-08-17,1939,Sault Ste. Marie,ON,CAN,CAN,70,170,--,--,--,19611962,1961,N,841,143,293,436
Gilles Tremblay,L,1938-12-17,4,509,168,162,330,164,0:19,--,--,--,72,--,--,--,--,67,4,1,0,0,L,L,1938-12-17,1938,Montmorency,QC,CAN,CAN,70,170,--,--,--,19601961,1960,N,509,168,162,330
Hec Lalande,C,1934-11-24,4,151,21,39,60,118,0:46,--,--,--,45,--,--,--,--,39,4,0,2,0,L,C,1934-11-24,1934,North Bay,ON,CAN,CAN,69,150,--,--,--,19531954,1953,N,151,21,39,60
Al Karlander,C,1946-11-05,4,212,36,56,92,70,0:19,--,--,--,29,--,--,--,--,25,4,0,0,0,L,C,1946-11-05,1946,Lac La Hache,BC,CAN,CAN,68,170,1967,2,17,19691970,1969,N,212,36,56,92
Jim McKenny,D,1946-12-01,4,604,82,247,329,294,0:29,--,--,--,137,--,--,--,--,132,4,0,1,0,R,D,1946-12-01,1946,Ottawa,ON,CAN,CAN,71,180,1963,3,17,19651966,1965,N,604,82,247,329
Brian Lavender,L,1947-04-20,4,184,16,26,42,174,0:56,--,--,--,70,--,--,--,--,62,6,0,1,1,L,L,1947-04-20,1947,Edmonton,AB,CAN,CAN,72,174,--,--,--,19711972,1971,N,184,16,26,42
Sheldon Kannegiesser,D,1947-08-15,4,366,14,67,81,292,0:47,--,--,--,130,--,--,--,--,124,4,0,0,2,L,D,1947-08-15,1947,North Bay,ON,CAN,CAN,72,198,--,--,--,19701971,1970,N,366,14,67,81
Lew Morrison,R,1948-02-11,4,564,39,52,91,107,0:11,--,--,--,45,--,--,--,--,40,5,0,0,0,R,R,1948-02-11,1948,Gainsborough,SK,CAN,CAN,72,185,1968,1,8,19691970,1969,N,564,39,52,91
Gus Kyle,D,1923-09-11,4,203,6,20,26,362,1:46,--,--,--,164,--,--,--,--,156,6,0,2,0,L,D,1923-09-11,1923,Dysart,SK,CAN,CAN,73,202,--,--,--,19491950,1949,N,203,6,20,26
Bob Bailey,R,1931-05-29,4,149,15,21,36,207,1:23,--,--,--,68,--,--,--,--,56,5,0,7,0,R,R,1931-05-29,1931,Kenora,ON,CAN,CAN,71,180,--,--,--,19531954,1953,N,149,15,21,36
Jiri Bubla,D,1950-01-27,4,256,17,101,118,202,0:47,--,--,--,95,--,--,--,--,91,4,0,0,0,L,D,1950-01-27,1950,Ústí nad Labem,--,CZE,CZE,71,200,--,--,--,19811982,1981,N,256,17,101,118
Glenn Patrick,D,1950-04-26,4,38,2,3,5,72,1:53,--,--,--,30,--,--,--,--,26,4,0,0,0,L,D,1950-04-26,1950,New York City,NY,USA,USA,74,190,--,--,--,19731974,1973,N,38,2,3,5
Gerry O'Flaherty,L,1950-08-31,4,438,99,95,194,168,0:23,--,--,--,70,--,--,--,--,64,4,0,1,1,L,L,1950-08-31,1950,Pittsburgh,PA,USA,USA,70,182,1970,3,36,19711972,1971,N,438,99,95,194
Rick Foley,D,1945-09-22,4,67,11,26,37,180,2:41,--,--,--,60,--,--,--,--,50,4,0,3,3,L,D,1945-09-22,1945,Niagara Falls,ON,CAN,CAN,76,223,--,--,--,19701971,1970,N,67,11,26,37
Chris Ahrens,D,1952-07-31,4,52,0,3,3,84,1:36,--,--,--,20,--,--,--,--,12,4,0,2,2,R,D,1952-07-31,1952,San Bernardino,CA,USA,USA,72,185,1972,5,76,19731974,1973,N,52,0,3,3
John Van Boxmeer,D,1952-11-20,4,588,84,274,358,465,0:47,--,--,--,213,--,--,--,--,205,5,0,3,0,R,D,1952-11-20,1952,Petrolia,ON,CAN,CAN,72,189,1972,1,14,19731974,1973,N,588,84,274,358
Dean Talafous,C,1953-08-25,4,497,104,154,258,163,0:19,--,--,--,61,--,--,--,--,54,3,0,4,0,R,C,1953-08-25,1953,Duluth,MN,USA,USA,75,180,1973,4,53,19741975,1974,N,497,104,154,258
Steve Kraftcheck,D,1929-03-03,4,156,11,18,29,83,0:31,--,--,--,37,--,--,--,--,34,3,0,0,0,R,D,1929-03-03,1929,Tintern,ON,CAN,CAN,71,190,--,--,--,19501951,1950,N,156,11,18,29
Jamie Hislop,R,1954-01-20,4,345,75,103,178,86,0:14,--,--,--,37,--,--,--,--,33,4,0,0,0,R,R,1954-01-20,1954,Sarnia,ON,CAN,CAN,70,180,1974,8,140,19791980,1979,N,345,75,103,178
Tony White,L,1954-06-16,4,164,37,28,65,104,0:38,--,--,--,42,--,--,--,--,37,4,1,0,0,--,L,1954-06-16,1954,Grand Falls,NL,CAN,CAN,70,174,1974,10,161,19741975,1974,N,164,37,28,65
Michel Bergeron,R,1954-11-11,4,229,80,58,138,165,0:43,--,--,--,55,--,--,--,--,45,5,0,1,4,R,R,1954-11-11,1954,Chicoutimi,QC,CAN,CAN,70,170,1974,4,63,19741975,1974,N,229,80,58,138
Ron Wilson,C,1955-05-28,4,831,110,216,326,413,0:29,--,--,--,163,--,--,--,--,149,5,0,8,1,R,D,1955-05-28,1955,Windsor,ON,CAN,CAN,70,174,1975,8,132,19771978,1977,N,177,26,67,93
Ron Wilson,D,1955-05-28,4,177,26,67,93,68,0:23,--,--,--,34,--,--,--,--,34,0,0,0,0,R,D,1955-05-28,1955,Windsor,ON,CAN,CAN,70,174,1975,8,132,19771978,1977,N,177,26,67,93
Gary Morrison,R,1955-11-08,4,43,1,15,16,70,1:37,--,--,--,20,--,--,--,--,14,4,0,1,1,--,R,1955-11-08,1955,Detroit,MI,USA,USA,74,200,1975,5,90,19791980,1979,N,43,1,15,16
John Markell,L,1956-03-10,4,55,11,10,21,36,0:39,--,--,--,12,--,--,--,--,8,4,0,0,0,L,L,1956-03-10,1956,Cornwall,ON,CAN,CAN,70,165,--,--,--,19791980,1979,N,55,11,10,21
Rick Hampton,D,1956-06-14,4,337,59,113,172,147,0:26,--,--,--,66,--,--,--,--,61,5,0,0,0,L,D,1956-06-14,1956,King,ON,CAN,CAN,72,190,1974,1,3,19741975,1974,N,337,59,113,172
Bob Manno,D,1956-10-31,4,371,41,132,173,274,0:44,--,--,--,115,--,--,--,--,107,4,0,3,1,L,D,1956-10-31,1956,Niagara Falls,ON,CAN,ITA,72,185,1976,2,26,19761977,1976,N,371,41,132,173
Mark Napier,R,1957-01-28,4,767,235,306,541,157,0:12,--,--,--,63,--,--,--,--,56,5,0,0,2,L,R,1957-01-28,1957,Toronto,ON,CAN,CAN,69,185,1977,1,10,19781979,1978,N,767,235,306,541
Tom Gorence,R,1957-03-11,4,303,58,53,111,89,0:17,--,--,--,32,--,--,--,--,27,3,0,2,0,R,R,1957-03-11,1957,St. Paul,MN,USA,USA,72,190,1977,2,35,19781979,1978,N,303,58,53,111
Jordy Douglas,L,1958-01-20,4,268,76,62,138,160,0:35,--,--,--,66,--,--,--,--,60,4,0,2,0,L,L,1958-01-20,1958,Winnipeg,MB,CAN,CAN,72,200,1978,5,81,19791980,1979,N,268,76,62,138
Doug McCaig,D,1919-02-24,4,263,8,21,29,255,0:58,--,--,--,113,--,--,--,--,105,7,0,0,1,R,D,1919-02-24,1919,Guelph,ON,CAN,CAN,72,190,--,--,--,19411942,1941,N,263,8,21,29
David Fenyves,D,1960-04-29,4,206,3,32,35,119,0:34,--,--,--,51,--,--,--,--,47,3,0,1,0,L,D,1960-04-29,1960,Dunnville,ON,CAN,CAN,71,192,--,--,--,19821983,1982,N,206,3,32,35
Don Gillen,R,1960-12-24,4,35,2,4,6,22,0:37,--,--,--,5,--,--,--,--,1,4,0,0,0,R,R,1960-12-24,1960,Dodsland,SK,CAN,CAN,75,210,1979,4,77,19791980,1979,N,35,2,4,6
Michael Thelven,D,1961-01-07,4,207,20,80,100,217,1:02,--,--,--,93,--,--,--,--,86,5,0,1,1,R,D,1961-01-07,1961,Stockholm,--,SWE,SWE,71,178,1980,9,186,19851986,1985,N,207,20,80,100
Michel Galarneau,C,1961-03-01,4,78,7,10,17,34,0:26,--,--,--,11,--,--,--,--,7,4,0,0,0,R,C,1961-03-01,1961,Montreal,QC,CAN,FRA,74,180,1980,2,29,19801981,1980,N,78,7,10,17
Scott Bjugstad,L,1961-06-02,4,317,76,68,144,144,0:27,--,--,--,53,--,--,--,--,46,4,0,3,0,L,L,1961-06-02,1961,St. Paul,MN,USA,USA,73,185,1981,9,181,19831984,1983,N,317,76,68,144
Jim Archibald,R,1961-06-06,4,16,1,2,3,45,2:48,--,--,--,11,--,--,--,--,5,5,0,1,0,R,R,1961-06-06,1961,Craik,AB,CAN,CAN,71,175,1981,7,139,19841985,1984,N,16,1,2,3
Steve Larmer,R,1961-06-16,4,"1,006",441,571,"1,012",532,0:31,--,--,--,223,--,--,--,--,209,6,0,4,4,L,R,1961-06-16,1961,Peterborough,ON,CAN,CAN,71,195,1980,6,120,19801981,1980,N,"1,006",441,571,"1,012"
Kevin LaVallee,L,1961-09-16,4,366,110,125,235,83,0:13,--,--,--,37,--,--,--,--,34,3,0,0,0,L,L,1961-09-16,1961,Sudbury,ON,CAN,CAN,68,180,1980,2,32,19801981,1980,N,366,110,125,235
Mike Moher,R,1962-03-26,4,9,0,1,1,28,3:06,--,--,--,8,--,--,--,--,4,4,0,0,0,R,R,1962-03-26,1962,Manitouwadge,ON,CAN,CAN,70,174,1982,6,106,19821983,1982,N,9,0,1,1
Greg Adams,L,1963-08-15,4,544,84,143,227,"1,173",2:09,--,--,--,349,--,--,--,--,248,67,0,26,8,L,L,1963-08-15,1963,Nelson,BC,CAN,CAN,76,196,--,--,--,19841985,1984,N,"1,056",355,388,743
Greg Adams,L,1963-08-15,4,"1,056",355,388,743,321,0:18,--,--,--,147,--,--,--,--,141,5,0,0,1,L,L,1963-08-15,1963,Nelson,BC,CAN,CAN,76,196,--,--,--,19841985,1984,N,"1,056",355,388,743
Paul Guay,R,1963-09-02,4,117,11,23,34,92,0:47,--,--,--,32,--,--,--,--,26,4,0,2,0,R,R,1963-09-02,1963,Providence,RI,USA,USA,71,185,1981,6,118,19831984,1983,N,117,11,23,34
Tommy Albelin,D,1964-05-21,4,952,44,211,255,417,0:26,--,--,--,185,--,--,--,--,176,5,0,1,3,L,D,1964-05-21,1964,Stockholm,--,SWE,SWE,74,195,1983,8,152,19871988,1987,N,952,44,211,255
Tony Granato,R,1964-07-25,4,773,248,244,492,"1,425",1:50,--,--,--,574,--,--,--,--,532,13,3,14,12,R,R,1964-07-25,1964,Downers Grove,IL,USA,USA,70,180,1982,6,120,19881989,1988,N,773,248,244,492
Jim Hofford,D,1964-10-04,4,18,0,0,0,47,2:36,--,--,--,12,--,--,--,--,6,5,0,0,1,R,D,1964-10-04,1964,Sudbury,ON,CAN,CAN,72,190,1983,6,114,19851986,1985,N,18,0,0,0
Peter Bakovic,R,1965-01-31,4,10,2,0,2,48,4:48,--,--,--,10,--,--,--,--,4,4,0,1,1,R,R,1965-01-31,1965,Thunder Bay,ON,CAN,CAN,74,200,--,--,--,19871988,1987,N,10,2,0,2
Graeme Townshend,L,1965-10-23,4,45,3,7,10,28,0:37,--,--,--,8,--,--,--,--,4,4,0,0,0,R,L,1965-10-23,1965,Kingston,--,JAM,JAM,74,225,--,--,--,19891990,1989,N,45,3,7,10
Sylvain Cote,D,1966-01-19,4,"1,171",122,313,435,545,0:27,--,--,--,252,--,--,--,--,244,5,0,2,1,R,D,1966-01-19,1966,Quebec City,QC,CAN,CAN,71,195,1984,1,11,19841985,1984,N,"1,171",122,313,435
Derek Laxdal,R,1966-02-21,4,67,12,7,19,88,1:18,--,--,--,34,--,--,--,--,29,4,0,1,0,R,R,1966-02-21,1966,St. Boniface,MB,CAN,CAN,73,175,1984,8,151,19841985,1984,N,67,12,7,19
John Stevens,D,1966-05-04,4,53,0,10,10,48,0:54,--,--,--,14,--,--,--,--,9,4,0,1,0,L,D,1966-05-04,1966,Campbellton,NB,CAN,CAN,73,195,1984,3,47,19861987,1986,N,53,0,10,10
J.C. Tremblay,D,1939-01-22,4,796,57,306,363,206,0:15,--,--,--,92,--,--,--,--,88,2,0,2,0,L,D,1939-01-22,1939,Port Alfred,QC,CAN,CAN,70,169,--,--,--,19591960,1959,N,796,57,306,363
Robin Bawa,C,1966-06-23,4,61,6,1,7,60,0:59,--,--,--,20,--,--,--,--,15,4,0,1,0,R,C,1966-06-23,1966,Duncan,BC,CAN,CAN,74,214,--,--,--,19891990,1989,N,61,6,1,7
Dave Pasin,R,1966-07-08,4,76,18,19,37,50,0:39,--,--,--,19,--,--,--,--,15,4,0,0,0,R,R,1966-07-08,1966,Edmonton,AB,CAN,CAN,74,213,1984,1,19,19851986,1985,N,76,18,19,37
Jyrki Lumme,D,1966-07-16,4,985,114,354,468,620,0:37,--,--,--,295,--,--,--,--,289,4,0,2,0,L,D,1966-07-16,1966,Tampere,--,FIN,FIN,73,210,1986,3,57,19881989,1988,N,985,114,354,468
Ulf Dahlen,R,1967-01-21,4,966,301,354,655,230,0:14,--,--,--,98,--,--,--,--,90,6,0,1,1,L,R,1967-01-21,1967,Ostersund,--,SWE,SWE,75,204,1985,1,7,19871988,1987,N,966,301,354,655
Calle Johansson,D,1967-02-14,4,"1,109",119,416,535,519,0:28,--,--,--,226,--,--,--,--,212,9,0,0,5,L,D,1967-02-14,1967,Gothenburg,--,SWE,SWE,71,203,1985,1,14,19871988,1987,N,"1,109",119,416,535
Sergei Bautin,D,1967-03-11,4,132,5,25,30,176,1:20,--,--,--,82,--,--,--,--,78,4,0,0,0,L,D,1967-03-11,1967,Rogachev,--,RUS,RUS,75,200,1992,1,17,19921993,1992,N,132,5,25,30
