Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Julian Melchiori,'D',12/6/91,0,30,0,2,2,8,16,'16:17','1.6','3',4,'-1','0.37','0.49','-0.12',4,0,0,0,0,'L','D',12/6/91,Richmond Hill,'ON','CAN','CAN',77,222,2010,3,87,20132014,2013,'N',30,0,2,2
Mikko Makela,'R',2/28/65,0,423,118,147,265,139,19,'--','--','--',60,'--','--','--','--',57,1,0,1,1,'L','R',2/28/65,Tampere,'--','FIN','FIN',73,194,1983,4,65,19851986,1985,'N',423,118,147,265
Zdeno Ciger,'L',10/19/69,0,352,94,134,228,101,17,'--','--','--',41,'--','--','--','--',38,1,1,0,1,'L','L',10/19/69,Martin,'--','SVK','SVK',73,190,1988,3,54,19901991,1990,'N',352,94,134,228
Dwight Bialowas,'D',9/8/52,0,164,11,46,57,46,16,'--','--','--',23,'--','--','--','--',23,0,0,0,0,'R','D',9/8/52,Regina,'SK','CAN','CAN',72,185,1972,2,18,19731974,1973,'N',164,11,46,57
Blair Atcheynum,'R',4/20/69,0,196,27,33,60,36,11,'--','--','--',14,'--','--','--','--',13,0,0,1,0,'R','R',4/20/69,Estevan,'SK','CAN','CAN',74,203,1989,3,52,19921993,1992,'N',196,27,33,60
Johan Witehall,'L',1/7/72,0,54,2,5,7,16,17,'9:12','3.2','--',8,'--','--','--','--',8,0,0,0,0,'L','L',1/7/72,Gothenburg,'--','SWE','SWE',73,198,1998,8,207,19981999,1998,'N',54,2,5,7
Jack Valiquette,'C',3/18/56,5,350,84,134,218,79,13,'--','--','--',32,'--','--','--','--',27,5,0,0,0,'L','C',3/18/56,St. Thomas,'ON','CAN','CAN',74,195,1974,1,13,19741975,1974,'N',350,84,134,218
Bobby Allen,'D',11/14/78,0,51,0,3,3,12,14,'11:40','2','--',6,'--','--','--','--',6,0,0,0,0,'L','D',11/14/78,Weymouth,'MA','USA','USA',72,201,1998,2,52,20022003,2002,'N',51,0,3,3
Andrew Brunette,'L',8/24/73,0,1110,268,465,733,314,16,'--','--','--',157,'--','--','--','--',157,0,0,0,0,'L','L',8/24/73,Sudbury,'ON','CAN','CAN',73,215,1993,7,174,19951996,1995,'N',1110,268,465,733
Tomas Plihal,'C',3/28/83,0,89,7,9,16,26,17,'10:17','2.8','--',13,'--','--','--','--',13,0,0,0,0,'L','C',3/28/83,Frydlant,'--','CZE','CZE',73,210,2001,5,140,20062007,2006,'N',89,7,9,16
Peter White,'C',3/15/69,0,220,23,37,60,36,9,'--','--','--',18,'--','--','--','--',18,0,0,0,0,'L','C',3/15/69,Montreal,'QC','CAN','CAN',71,200,1989,5,92,19931994,1993,'N',220,23,37,60
Jiri Latal,'D',2/2/67,0,92,12,36,48,24,15,'--','--','--',12,'--','--','--','--',12,0,0,0,0,'L','D',2/2/67,Olomouc,'--','CZE','CZE',72,190,1985,6,106,19891990,1989,'N',92,12,36,48
David Saunders,'L',5/20/66,0,56,7,13,20,10,10,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','L',5/20/66,Ottawa,'ON','CAN','CAN',72,194,1984,3,52,19871988,1987,'N',56,7,13,20
Jeff Toms,'L',6/4/74,1,236,22,33,55,59,15,'--','--','--',24,'--','--','--','--',22,1,0,1,0,'L','L',6/4/74,Swift Current,'SK','CAN','CAN',77,210,1992,9,210,19951996,1995,'N',236,22,33,55
Joonas Kemppainen,'C',4/7/88,0,44,2,3,5,4,5,'12:32','0.7','0',2,'-2','0','0.22','-0.22',2,0,0,0,0,'L','C',4/7/88,Kajaani,'--','FIN','FIN',75,223,NaN,NaN,NaN,20152016,2015,'N',44,2,3,5
Dakota Mermis,'D',1/5/94,0,25,1,3,4,4,9,'15:10','1.1','0',2,'-2','0','0.32','-0.32',2,0,0,0,0,'L','D',1/5/94,Alton,'IL','USA','USA',72,195,NaN,NaN,NaN,20172018,2017,'N',25,1,3,4
Christian Wolanin,'D',3/17/95,0,70,6,14,20,16,13,'15:34','1.5','3',8,'-5','0.17','0.44','-0.28',8,0,0,0,0,'L','D',3/17/95,Quebec City,'QC','CAN','CAN',74,190,2015,4,107,20172018,2017,'N',70,6,14,20
Craig Darby,'C',9/26/72,0,196,21,35,56,32,9,'--','--','--',16,'--','--','--','--',16,0,0,0,0,'R','C',9/26/72,Oneida,'NY','USA','USA',75,205,1991,2,43,19941995,1994,'N',196,21,35,56
Denis Dupere,'L',6/21/48,0,421,80,99,179,66,9,'--','--','--',27,'--','--','--','--',26,0,0,0,1,'L','L',6/21/48,Jonquiere,'QC','CAN','CAN',73,200,NaN,NaN,NaN,19701971,1970,'N',421,80,99,179
Brian McReynolds,'C',1/5/65,0,30,1,5,6,8,16,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'L','C',1/5/65,Penetanguishene,'ON','CAN','CAN',73,192,1985,6,112,19891990,1989,'N',30,1,5,6
Michel Mongeau,'C',2/9/65,0,54,6,19,25,10,11,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','C',2/9/65,Montreal,'QC','CAN','CAN',69,190,NaN,NaN,NaN,19891990,1989,'N',54,6,19,25
Jeff Nielsen,'R',9/20/71,2,252,20,27,47,70,16,'--','--','--',32,'--','--','--','--',30,2,0,0,0,'R','R',9/20/71,Grand Rapids,'MN','USA','USA',72,200,1990,4,69,19961997,1996,'N',252,20,27,47
Steve Tuttle,'R',1/5/66,0,144,28,28,56,12,5,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','R',1/5/66,Vancouver,'BC','CAN','CAN',73,197,1984,6,113,19881989,1988,'N',144,28,28,56
Milan Kraft,'C',1/17/80,0,207,41,41,82,52,15,'13:25','1.9','--',26,'--','--','--','--',26,0,0,0,0,'R','C',1/17/80,Plzen,'--','CZE','CZE',76,212,1998,1,23,20002001,2000,'N',207,41,41,82
Jani Rita,'L',7/25/81,0,66,9,5,14,10,9,'8:42','1.7','--',5,'--','--','--','--',5,0,0,0,0,'R','L',7/25/81,Helsinki,'--','FIN','FIN',73,206,1999,1,13,20012002,2001,'N',66,9,5,14
Mark Cullen,'C',10/28/78,0,38,7,10,17,4,6,'11:51','0.9','--',2,'--','--','--','--',2,0,0,0,0,'L','C',10/28/78,Moorhead,'MN','USA','USA',71,182,NaN,NaN,NaN,20052006,2005,'N',38,7,10,17
Frederik Gauthier,'C',4/26/95,1,178,13,18,31,47,15,'9:12','2.9','16',18,'-2','0.59','0.66','-0.07',16,1,0,0,1,'L','C',4/26/95,Laval,'QC','CAN','CAN',77,239,2013,1,21,20152016,2015,'N',178,13,18,31
Bill Watson,'R',3/30/64,0,115,23,36,59,12,6,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'L','R',3/30/64,Pine Falls,'MB','CAN','CAN',73,194,1982,4,70,19851986,1985,'N',115,23,36,59
Mikko Lehtonen,'D',6/12/78,0,26,0,6,6,8,18,'15:52','1.9','2',4,'-2','0.29','0.58','-0.29',4,0,0,0,0,'L','D',6/12/78,Oulu,'--','FIN','FIN',73,194,2001,9,271,20062007,2006,'N',15,1,2,3
Rob Whistle,'D',4/30/61,0,51,7,5,12,16,18,'--','--','--',8,'--','--','--','--',8,0,0,0,0,'R','D',4/30/61,Thunder Bay,'ON','CAN','CAN',74,185,NaN,NaN,NaN,19851986,1985,'N',51,7,5,12
Craig Janney,'C',9/26/67,2,760,188,563,751,170,13,'--','--','--',72,'--','--','--','--',69,0,0,3,0,'L','C',9/26/67,Hartford,'CT','USA','USA',73,200,1986,1,13,19871988,1987,'N',760,188,563,751
Nick Palmieri,'R',7/12/89,0,87,13,12,25,20,13,'12:30','1.8','8',10,'-2','0.44','0.55','-0.11',10,0,0,0,0,'R','R',7/12/89,Utica,'NY','USA','USA',75,220,2007,3,79,20092010,2009,'N',87,13,12,25
Andrew Murray,'C',11/6/81,0,221,24,16,40,36,9,'10:31','1.6','--',18,'--','--','--','--',18,0,0,0,0,'L','C',11/6/81,Selkirk,'MB','CAN','CAN',74,210,2001,8,242,20072008,2007,'N',221,24,16,40
Hudson Fasching,'R',7/28/95,0,35,1,2,3,8,13,'10:00','2.3','3',4,'-1','0.51','0.69','-0.17',4,0,0,0,0,'R','R',7/28/95,Milwaukee,'WI','USA','USA',75,204,2013,4,118,20152016,2015,'N',35,1,2,3
Shawn Matthias,'L',2/19/88,7,551,90,84,174,180,19,'12:54','2.5','--',77,'--','--','--','--',70,6,0,1,0,'L','L',2/19/88,Mississauga,'ON','CAN','CAN',76,231,2006,2,47,20072008,2007,'N',551,90,84,174
Sergei Nemchinov,'L',1/14/64,1,761,152,193,345,251,19,'--','--','--',120,'--','--','--','--',118,1,0,1,0,'L','L',1/14/64,Moscow,'--','RUS','RUS',73,205,1990,12,244,19911992,1991,'N',761,152,193,345
Alain Lemieux,'C',5/24/61,0,119,28,44,72,38,19,'--','--','--',19,'--','--','--','--',19,0,0,0,0,'L','C',5/24/61,Montreal,'QC','CAN','CAN',72,185,1980,5,96,19811982,1981,'N',119,28,44,72
Jim Roberts,'R',6/8/56,0,106,17,23,40,33,18,'--','--','--',15,'--','--','--','--',14,1,0,0,0,'L','R',6/8/56,Toronto,'ON','CAN','CAN',72,194,1976,2,31,19761977,1976,'N',106,17,23,40
Hannu Virta,'D',3/22/63,0,245,25,101,126,66,16,'--','--','--',33,'--','--','--','--',33,0,0,0,0,'L','D',3/22/63,Turku,'--','FIN','FIN',71,180,1981,2,38,19811982,1981,'N',245,25,101,126
Rob Scuderi,'D',12/30/78,1,783,8,102,110,198,15,'19:20','1.3','--',96,'--','--','--','--',94,2,0,0,0,'L','D',12/30/78,Syosset,'NY','USA','USA',73,216,1998,5,134,20032004,2003,'N',783,8,102,110
Mark Popovic,'D',10/11/82,0,81,2,5,7,20,14,'14:09','1.7','--',10,'--','--','--','--',10,0,0,0,0,'L','D',10/11/82,Stoney Creek,'ON','CAN','CAN',73,205,2001,2,35,20032004,2003,'N',81,2,5,7
Dale Craigwell,'C',4/24/71,0,98,11,18,29,28,17,'--','--','--',14,'--','--','--','--',14,0,0,0,0,'L','C',4/24/71,Toronto,'ON','CAN','CAN',71,195,1991,10,199,19911992,1991,'N',98,11,18,29
Nikita Nikitin,'D',6/16/86,1,259,17,59,76,85,19,'19:20','1.7','41',41,'0','0.49','0.49','0',40,1,0,0,0,'L','D',6/16/86,Omsk,'--','RUS','RUS',76,217,2004,5,136,20102011,2010,'N',259,17,59,76
Ron Lalonde,'C',10/30/52,2,397,45,78,123,106,16,'--','--','--',50,'--','--','--','--',48,2,0,0,0,'L','C',10/30/52,Toronto,'ON','CAN','CAN',70,170,1972,4,56,19721973,1972,'N',397,45,78,123
John Gould,'R',4/11/49,2,504,131,138,269,113,13,'--','--','--',52,'--','--','--','--',49,3,0,0,0,'L','R',4/11/49,Beeton,'ON','CAN','CAN',71,197,NaN,NaN,NaN,19711972,1971,'N',504,131,138,269
Petteri Nummelin,'D',11/25/72,0,139,9,36,45,34,14,'17:58','1.4','--',17,'--','--','--','--',17,0,0,0,0,'L','D',11/25/72,Turku,'--','FIN','FIN',70,188,2000,5,133,20002001,2000,'N',139,9,36,45
Andrew Campbell,'D',2/4/88,0,42,0,2,2,12,17,'16:20','1.8','5',6,'-1','0.44','0.52','-0.09',6,0,0,0,0,'L','D',2/4/88,Caledonia,'ON','CAN','CAN',76,205,2008,3,74,20132014,2013,'N',42,0,2,2
Craig Ferguson,'C',4/8/70,0,27,1,1,2,6,13,'--','--','--',3,'--','--','--','--',3,0,0,0,0,'L','C',4/8/70,Castro Valley,'CA','USA','USA',71,190,1989,7,146,19931994,1993,'N',27,1,1,2
Matt Ellis,'L',8/31/81,1,356,21,28,49,89,15,'8:47','2.9','--',39,'--','--','--','--',37,1,0,1,0,'L','L',8/31/81,Welland,'ON','CAN','CAN',72,208,NaN,NaN,NaN,20062007,2006,'N',356,21,28,49
Wally Schreiber,'R',4/15/62,0,41,8,10,18,12,17,'--','--','--',6,'--','--','--','--',6,0,0,0,0,'R','R',4/15/62,Edmonton,'AB','CAN','CAN',70,176,1982,8,152,19871988,1987,'N',41,8,10,18
Ray Sheppard,'R',5/27/66,6,817,357,300,657,212,15,'--','--','--',85,'--','--','--','--',76,6,0,1,2,'R','R',5/27/66,Pembroke,'ON','CAN','CAN',73,195,1984,3,60,19871988,1987,'N',817,357,300,657
John Madden,'C',5/4/73,1,898,165,183,348,219,14,'16:27','1.5','--',108,'--','--','--','--',107,1,0,0,0,'L','C',5/4/73,Toronto,'ON','CAN','CAN',71,190,NaN,NaN,NaN,19981999,1998,'N',898,165,183,348
Peter McNab,'C',5/8/52,3,955,363,450,813,179,11,'--','--','--',77,'--','--','--','--',72,3,0,0,2,'L','C',5/8/52,Vancouver,'BC','CAN','CAN',75,205,1972,6,85,19731974,1973,'N',955,363,450,813
Warren Holmes,'C',2/18/57,1,45,8,18,26,7,9,'--','--','--',2,'--','--','--','--',1,1,0,0,0,'L','C',2/18/57,Beeton,'ON','CAN','CAN',73,195,1977,5,85,19811982,1981,'N',45,8,18,26
Tom Gorence,'R',3/11/57,4,303,58,53,111,89,17,'--','--','--',32,'--','--','--','--',27,3,0,2,0,'R','R',3/11/57,St. Paul,'MN','USA','USA',72,190,1977,2,35,19781979,1978,'N',303,58,53,111
Jakub Nakladal,'D',12/30/87,0,30,2,3,5,6,12,'14:13','1.4','5',3,'2','0.7','0.42','0.28',3,0,0,0,0,'R','D',12/30/87,Hradec Králové,'--','CZE','CZE',74,212,NaN,NaN,NaN,20152016,2015,'N',30,2,3,5
Paul Lawless,'L',7/2/64,0,239,49,77,126,54,13,'--','--','--',27,'--','--','--','--',27,0,0,0,0,'L','L',7/2/64,Scarborough,'ON','CAN','CAN',71,185,1982,1,14,19821983,1982,'N',239,49,77,126
Richard David,'L',4/8/58,0,31,4,4,8,10,19,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','L',4/8/58,Notre-Dame-de-la-Salette,'QC','CAN','CAN',72,195,1978,3,42,19791980,1979,'N',31,4,4,8
Tom Preissing,'D',12/3/78,0,326,31,101,132,78,14,'17:45','1.4','--',39,'--','--','--','--',39,0,0,0,0,'R','D',12/3/78,Arlington Heights,'IL','USA','USA',72,197,NaN,NaN,NaN,20032004,2003,'N',326,31,101,132
Bengt-Ake Gustafsson,'L',3/23/58,3,629,195,359,554,196,18,'--','--','--',80,'--','--','--','--',73,4,0,3,0,'L','L',3/23/58,Karlskoga,'--','SWE','SWE',72,190,1978,4,55,19791980,1979,'N',629,195,359,554
Jonny Brodzinski,'C',6/19/93,0,78,8,7,15,22,16,'10:07','2.8','7',11,'-4','0.53','0.84','-0.3',11,0,0,0,0,'R','C',6/19/93,Ham Lake,'MN','USA','USA',73,211,2013,5,148,20162017,2016,'N',78,8,7,15
Rob Klinkhammer,'L',8/12/86,2,193,22,21,43,64,19,'11:16','2.9','49',28,'21','1.35','0.77','0.58',26,2,0,0,0,'L','L',8/12/86,Lethbridge,'AB','CAN','CAN',75,214,NaN,NaN,NaN,20102011,2010,'N',193,22,21,43
Harold Druken,'C',1/26/79,0,146,27,36,63,36,14,'11:11','2.2','--',18,'--','--','--','--',18,0,0,0,0,'L','C',1/26/79,St. John's,'NL','CAN','CAN',72,205,1997,2,36,19992000,1999,'N',146,27,36,63
Dylan Olsen,'D',1/3/91,0,124,5,17,22,36,17,'14:56','1.9','13',18,'-5','0.42','0.58','-0.16',18,0,0,0,0,'L','D',1/3/91,Salt Lake City,'UT','USA','USA',74,223,2009,1,28,20112012,2011,'N',124,5,17,22
Sergei Berezin,'L',11/5/71,0,502,160,126,286,54,6,'--','--','--',27,'--','--','--','--',27,0,0,0,0,'R','L',11/5/71,Voskresensk,'--','RUS','RUS',70,196,1994,10,256,19961997,1996,'N',502,160,126,286
Andreas Karlsson,'C',8/19/75,0,264,16,35,51,72,16,'11:14','2.4','--',36,'--','--','--','--',36,0,0,0,0,'L','C',8/19/75,Ludvika,'--','SWE','SWE',76,201,1993,6,148,19992000,1999,'N',264,16,35,51
Ken Kuzyk,'R',8/11/53,0,41,5,9,14,8,11,'--','--','--',4,'--','--','--','--',4,0,0,0,0,'R','R',8/11/53,Toronto,'ON','CAN','CAN',73,195,NaN,NaN,NaN,19761977,1976,'N',41,5,9,14
Alexei Kudashov,'C',7/21/71,0,25,1,0,1,4,9,'--','--','--',2,'--','--','--','--',2,0,0,0,0,'R','C',7/21/71,Moscow,'--','RUS','RUS',72,190,1991,5,102,19931994,1993,'N',25,1,0,1
Zach Trotman,'D',8/26/90,0,91,3,10,13,30,19,'16:50','2','4',15,'-11','0.16','0.59','-0.43',15,0,0,0,0,'R','D',8/26/90,Carmel,'IN','USA','USA',75,217,2010,7,210,20132014,2013,'N',91,3,10,13
Bruce Cassidy,'D',5/20/65,0,36,4,13,17,10,16,'--','--','--',5,'--','--','--','--',5,0,0,0,0,'L','D',5/20/65,Ottawa,'ON','CAN','CAN',71,176,1983,1,18,19831984,1983,'N',36,4,13,17
