Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Joe Corvo,'D',6/20/77,1,708,92,218,310,241,'0:20',20:40,1.7,NaN,119,NaN,NaN,NaN,NaN,118,1,0,0,0,'R','D',6/20/77,Oak Park,'IL','USA','USA',72,204,1997,4,83,20022003,2002,'N',708,92,218,310
Ville Nieminen,'L',4/6/77,3,385,48,69,117,333,'0:51',12:32,6.9,NaN,146,NaN,NaN,NaN,NaN,139,3,0,1,3,'L','L',4/6/77,Tampere,'--','FIN','FIN',73,220,1997,3,78,19992000,1999,'N',385,48,69,117
Alexander Selivanov,'R',3/23/71,5,459,121,114,235,379,'0:49',--,NaN,NaN,165,NaN,NaN,NaN,NaN,156,5,0,2,2,'L','R',3/23/71,Moscow,'--','RUS','RUS',72,205,1994,6,140,19941995,1994,'N',459,121,114,235
Eric Lacroix,'L',7/15/71,3,472,67,70,137,361,'0:45',--,NaN,NaN,151,NaN,NaN,NaN,NaN,141,5,0,3,2,'L','L',7/15/71,Montreal,'QC','CAN','CAN',74,210,1990,7,136,19931994,1993,'N',472,67,70,137
Jassen Cullimore,'D',12/4/72,12,812,26,85,111,704,'0:52',--,NaN,NaN,300,NaN,NaN,NaN,NaN,277,16,0,2,5,'L','D',12/4/72,Simcoe,'ON','CAN','CAN',77,235,1991,2,29,19941995,1994,'N',812,26,85,111
Joel Ward,'R',12/2/80,1,726,133,171,304,261,'0:21',15:38,2.3,NaN,127,NaN,NaN,NaN,NaN,126,1,0,0,0,'R','R',12/2/80,North York,'ON','CAN','CAN',73,225,NaN,NaN,NaN,20062007,2006,'N',726,133,171,304
Jeff Shantz,'C',10/10/73,2,642,72,139,211,341,'0:31',--,NaN,NaN,162,NaN,NaN,NaN,NaN,158,3,0,0,1,'R','C',10/10/73,Duchess,'AB','CAN','CAN',72,200,1992,2,36,19931994,1993,'N',642,72,139,211
Jere Lehtinen,'R',6/24/73,0,875,243,271,514,210,'0:14',--,NaN,NaN,105,NaN,NaN,NaN,NaN,105,0,0,0,0,'R','R',6/24/73,Espoo,'--','FIN','FIN',72,194,1992,4,88,19951996,1995,'N',875,243,271,514
Anson Carter,'R',6/6/74,5,674,202,219,421,229,'0:20',--,NaN,NaN,103,NaN,NaN,NaN,NaN,97,5,0,0,1,'R','R',6/6/74,Toronto,'ON','CAN','CAN',73,210,1992,10,220,19961997,1996,'N',674,202,219,421
Harry York,'C',4/16/74,1,244,29,46,75,99,'0:24',--,NaN,NaN,48,NaN,NaN,NaN,NaN,47,1,0,0,0,'L','C',4/16/74,Ponoka,'AB','CAN','CAN',73,220,NaN,NaN,NaN,19961997,1996,'N',244,29,46,75
Chris Wells,'C',11/12/75,3,195,9,20,29,193,'0:59',--,NaN,NaN,73,NaN,NaN,NaN,NaN,64,5,1,1,2,'L','C',11/12/75,Calgary,'AB','CAN','CAN',78,223,1994,1,24,19951996,1995,'N',195,9,20,29
Jaroslav Spacek,D,1974-02-11,3,880,82,273,355,618,0:42,21:19,3.3,--,282,--,--,--,--,273,4,0,2,3,L,D,1974-02-11,Rokycany,--,CZE,CZE,72,210,1998,5,117,19981999,1998,N,880,82,273,355
Bates Battaglia,'L',12/13/75,6,580,80,118,198,385,'0:39',14:14,4.7,NaN,174,NaN,NaN,NaN,NaN,165,7,0,1,1,'L','L',12/13/75,Chicago,'IL','USA','USA',74,205,1994,6,132,19971998,1997,'N',580,80,118,198
Mike Knuble,'R',7/4/72,5,1068,278,270,548,641,'0:36',--,NaN,NaN,303,NaN,NaN,NaN,NaN,296,5,0,1,1,'R','R',7/4/72,Toronto,'ON','CAN','USA',75,229,1991,4,76,19961997,1996,'N',1068,278,270,548
Tomas Holmstrom,'L',1/23/73,3,1026,243,287,530,769,'0:44',--,NaN,NaN,363,NaN,NaN,NaN,NaN,356,3,0,4,0,'L','L',1/23/73,Pitea,'--','SWE','SWE',72,200,1994,10,257,19961997,1996,'N',1026,243,287,530
Chris Joseph,'D',9/10/69,9,510,39,112,151,567,'1:06',--,NaN,NaN,250,NaN,NaN,NaN,NaN,236,9,0,3,2,'R','D',9/10/69,Burnaby,'BC','CAN','CAN',74,211,1987,1,5,19871988,1987,'N',510,39,112,151
Steve Rucchin,'C',7/4/71,1,735,171,318,489,164,'0:13',--,NaN,NaN,74,NaN,NaN,NaN,NaN,71,2,0,0,1,'L','C',7/4/71,Thunder Bay,'ON','CAN','CAN',74,210,NaN,NaN,NaN,19941995,1994,'N',735,171,318,489
Jonas Hoglund,'R',8/29/72,0,545,117,145,262,112,'0:12',--,NaN,NaN,56,NaN,NaN,NaN,NaN,56,0,0,0,0,'R','R',8/29/72,Hammaro,'--','SWE','SWE',75,218,1992,10,222,19961997,1996,'N',545,117,145,262
Trent Klatt,'R',1/30/71,2,782,143,200,343,307,'0:23',--,NaN,NaN,133,NaN,NaN,NaN,NaN,126,3,0,2,2,'R','R',1/30/71,Robbinsdale,'MN','USA','USA',73,225,1989,4,82,19911992,1991,'N',782,143,200,343
Kevin Haller,'D',12/5/70,15,642,41,97,138,907,'1:24',--,NaN,NaN,411,NaN,NaN,NaN,NaN,391,15,0,4,1,'L','D',12/5/70,Trochu,'AB','CAN','CAN',74,200,1989,1,14,19891990,1989,'N',642,41,97,138
Andrew Brunette,'L',8/24/73,0,1110,268,465,733,314,'0:16',--,NaN,NaN,157,NaN,NaN,NaN,NaN,157,0,0,0,0,'L','L',8/24/73,Sudbury,'ON','CAN','CAN',73,215,1993,7,174,19951996,1995,'N',1110,268,465,733
Adrian Aucoin,'D',7/3/73,4,1108,121,278,399,793,'0:42',--,NaN,NaN,388,NaN,NaN,NaN,NaN,383,5,0,0,0,'R','D',7/3/73,Ottawa,'ON','CAN','CAN',74,215,1992,5,117,19941995,1994,'N',1108,121,278,399
Jason Blake,'L',9/2/73,2,871,213,273,486,455,'0:31',16:14,3.2,NaN,213,NaN,NaN,NaN,NaN,208,3,0,1,1,'L','L',9/2/73,Moorhead,'MN','USA','USA',70,190,NaN,NaN,NaN,19981999,1998,'N',871,213,273,486
Viktor Kozlov,'C',2/14/75,0,897,198,339,537,248,'0:16',--,NaN,NaN,119,NaN,NaN,NaN,NaN,118,0,0,1,0,'R','C',2/14/75,Togliatti,'--','RUS','RUS',76,232,1993,1,6,19941995,1994,'N',897,198,339,537
Patrick Poulin,'L',4/23/73,18,634,101,134,235,299,'0:28',--,NaN,NaN,112,NaN,NaN,NaN,NaN,91,19,0,0,2,'L','L',4/23/73,Vanier,'QC','CAN','CAN',73,214,1991,1,9,19911992,1991,'N',634,101,134,235
Frantisek Kucera,'D',2/3/68,0,465,24,95,119,251,'0:32',--,NaN,NaN,120,NaN,NaN,NaN,NaN,118,1,0,0,1,'R','D',2/3/68,Prague,'--','CZE','CZE',74,215,1986,4,77,19901991,1990,'N',465,24,95,119
Mark Lawrence,'R',1/27/72,3,142,18,26,44,115,'0:48',--,NaN,NaN,53,NaN,NaN,NaN,NaN,50,3,0,0,0,'R','R',1/27/72,Burlington,'ON','CAN','CAN',76,215,1991,6,118,19941995,1994,'N',142,18,26,44
Brad Dalgarno,'R',8/11/67,13,321,49,71,120,332,'1:02',--,NaN,NaN,134,NaN,NaN,NaN,NaN,116,16,0,0,2,'R','R',8/11/67,Vancouver,'BC','CAN','CAN',75,213,1985,1,6,19851986,1985,'N',321,49,71,120
Rob Zamuner,'L',9/17/69,5,798,139,172,311,467,'0:35',--,NaN,NaN,218,NaN,NaN,NaN,NaN,211,5,0,2,0,'L','L',9/17/69,Oakville,'ON','CAN','CAN',75,201,1989,3,45,19911992,1991,'N',798,139,172,311
Glen Murray,'R',11/1/72,1,1009,337,314,651,679,'0:40',--,NaN,NaN,319,NaN,NaN,NaN,NaN,312,3,0,2,2,'R','R',11/1/72,Halifax,'NS','CAN','CAN',75,218,1991,1,18,19911992,1991,'N',1009,337,314,651
Darrin Shannon,'L',12/8/69,3,506,87,163,250,344,'0:40',--,NaN,NaN,134,NaN,NaN,NaN,NaN,121,6,0,4,3,'L','L',12/8/69,Barrie,'ON','CAN','CAN',74,210,1988,1,4,19881989,1988,'N',506,87,163,250
Dan Bylsma,'L',9/19/70,10,429,19,43,62,184,'0:25',--,NaN,NaN,65,NaN,NaN,NaN,NaN,52,10,0,2,1,'L','L',9/19/70,Grand Haven,'MI','USA','USA',74,215,1989,6,109,19951996,1995,'N',429,19,43,62
Ed Ward,'R',11/10/69,15,278,23,26,49,354,'1:16',--,NaN,NaN,125,NaN,NaN,NaN,NaN,102,16,0,5,2,'R','R',11/10/69,Edmonton,'AB','CAN','CAN',76,220,1988,6,108,19931994,1993,'N',278,23,26,49
Trevor Linden,'C',4/11/70,16,1382,375,492,867,895,'0:38',--,NaN,NaN,369,NaN,NaN,NaN,NaN,338,19,0,5,7,'R','C',4/11/70,Medicine Hat,'AB','CAN','CAN',76,220,1988,1,2,19881989,1988,'N',1382,375,492,867
Brad Werenka,'D',2/12/69,5,320,19,61,80,299,'0:56',--,NaN,NaN,131,NaN,NaN,NaN,NaN,122,7,0,1,1,'L','D',2/12/69,Two Hills,'AB','CAN','CAN',73,221,1987,2,42,19921993,1992,'N',320,19,61,80
Yves Racine,'D',2/7/69,4,508,37,194,231,439,'0:51',--,NaN,NaN,185,NaN,NaN,NaN,NaN,172,7,0,2,4,'L','D',2/7/69,Matane,'QC','CAN','CAN',72,205,1987,1,11,19891990,1989,'N',508,37,194,231
Robert Lang,'C',12/19/70,0,989,261,442,703,422,'0:25',--,NaN,NaN,210,NaN,NaN,NaN,NaN,210,0,0,0,0,'R','C',12/19/70,Teplice,'--','CZE','CZE',75,217,1990,7,133,19921993,1992,'N',989,261,442,703
Roman Oksiuta,'R',8/21/70,0,153,46,41,87,100,'0:39',--,NaN,NaN,41,NaN,NaN,NaN,NaN,39,0,1,1,0,'L','R',8/21/70,Murmansk,'--','RUS','RUS',75,230,1989,10,202,19931994,1993,'N',153,46,41,87
Mattias Ohlund,'D',9/9/76,10,909,93,250,343,885,'0:58',23:59,4.1,NaN,409,NaN,NaN,NaN,NaN,394,11,0,2,2,'L','D',9/9/76,Pitea,'--','SWE','SWE',76,233,1994,1,13,19971998,1997,'N',909,93,250,343
Bobby Holik,'C',1/1/71,12,1314,326,421,747,1423,'1:04',--,NaN,NaN,635,NaN,NaN,NaN,NaN,607,15,2,7,4,'R','C',1/1/71,Jihlava,'--','CZE','CZE',76,230,1989,1,10,19901991,1990,'N',1314,326,421,747
Andrei Kovalenko,'R',6/7/70,2,620,173,206,379,389,'0:37',--,NaN,NaN,167,NaN,NaN,NaN,NaN,157,5,0,2,3,'L','R',6/7/70,Balakovo,'--','RUS','RUS',70,215,1990,8,148,19921993,1992,'N',620,173,206,379
Patric Kjellberg,'L',6/17/69,0,394,64,96,160,84,'0:12',--,NaN,NaN,42,NaN,NaN,NaN,NaN,42,0,0,0,0,'L','L',6/17/69,Trelleborg,'--','SWE','SWE',75,210,1988,4,83,19921993,1992,'N',394,64,96,160
Sandy Moger,'R',3/21/69,7,236,41,38,79,212,'0:53',--,NaN,NaN,85,NaN,NaN,NaN,NaN,75,8,0,1,1,'R','R',3/21/69,100 Mile House,'BC','CAN','CAN',76,220,1989,9,176,19941995,1994,'N',236,41,38,79
Jozef Stumpel,'L',7/20/72,1,957,196,481,677,245,'0:15',--,NaN,NaN,117,NaN,NaN,NaN,NaN,115,1,0,1,0,'R','L',7/20/72,Nitra,'--','SVK','SVK',75,222,1991,2,40,19911992,1991,'N',957,196,481,677
Alexei Yashin,'C',11/5/73,1,850,337,444,781,401,'0:28',--,NaN,NaN,194,NaN,NaN,NaN,NaN,192,1,0,1,0,'R','C',11/5/73,Sverdlovsk,'--','RUS','RUS',75,218,1992,1,2,19931994,1993,'N',850,337,444,781
Brian Rolston,'R',2/21/73,2,1256,342,419,761,472,'0:22',--,NaN,NaN,232,NaN,NaN,NaN,NaN,230,2,0,0,0,'L','R',2/21/73,Flint,'MI','USA','USA',74,215,1991,1,11,19941995,1994,'N',1256,342,419,761
Martin Simard,'R',1/25/66,17,44,1,5,6,183,'4:09',--,NaN,NaN,42,NaN,NaN,NaN,NaN,19,17,0,4,2,'R','R',1/25/66,Montreal,'QC','CAN','CAN',75,215,NaN,NaN,NaN,19901991,1990,'N',44,1,5,6
Alexander Mogilny,'R',2/18/69,1,990,473,559,1032,432,'0:26',--,NaN,NaN,162,NaN,NaN,NaN,NaN,146,4,0,6,6,'L','R',2/18/69,Khabarovsk,'--','RUS','RUS',72,210,1988,5,89,19891990,1989,'N',990,473,559,1032
Peter Zezel,'C',4/22/65,8,873,219,388,607,435,'0:29',--,NaN,NaN,186,NaN,NaN,NaN,NaN,172,11,0,0,3,'L','C',4/22/65,Toronto,'ON','CAN','CAN',71,220,1983,2,41,19841985,1984,'N',873,219,388,607
Derrick Smith,'L',1/22/65,8,537,82,92,174,373,'0:41',--,NaN,NaN,157,NaN,NaN,NaN,NaN,144,9,0,0,4,'L','L',1/22/65,Scarborough,'ON','CAN','CAN',74,215,1983,3,44,19841985,1984,'N',537,82,92,174
Jeff Daniels,'L',6/24/68,1,425,17,26,43,83,'0:11',--,NaN,NaN,36,NaN,NaN,NaN,NaN,34,1,0,1,0,'L','L',6/24/68,Oshawa,'ON','CAN','CAN',73,200,1986,6,109,19901991,1990,'N',425,17,26,43
John LeClair,'L',7/5/69,3,967,406,413,819,501,'0:31',--,NaN,NaN,230,NaN,NaN,NaN,NaN,223,3,0,2,2,'L','L',7/5/69,St. Albans,'VT','USA','USA',75,233,1987,2,33,19901991,1990,'N',967,406,413,819
Doug Bodger,'D',6/18/66,11,1071,106,422,528,1007,'0:56',--,NaN,NaN,479,NaN,NaN,NaN,NaN,466,11,0,2,0,'L','D',6/18/66,Chemainus,'BC','CAN','CAN',74,210,1984,1,9,19841985,1984,'N',1071,106,422,528
Peter Popovic,'D',2/10/68,0,485,10,63,73,291,'0:36',--,NaN,NaN,136,NaN,NaN,NaN,NaN,133,1,0,1,1,'L','D',2/10/68,Köping,'--','SWE','SWE',78,235,1988,5,93,19931994,1993,'N',485,10,63,73
Kerry Huffman,'D',1/3/68,1,401,37,108,145,361,'0:54',--,NaN,NaN,156,NaN,NaN,NaN,NaN,148,3,0,0,5,'L','D',1/3/68,Peterborough,'ON','CAN','CAN',74,200,1986,1,20,19861987,1986,'N',401,37,108,145
Todd Warriner,'L',1/3/74,0,453,65,89,154,249,'0:32',--,NaN,NaN,119,NaN,NaN,NaN,NaN,117,1,0,0,1,'L','L',1/3/74,Blenheim,'ON','CAN','CAN',74,210,1992,1,4,19941995,1994,'N',453,65,89,154
Mike Hudson,'C',2/6/67,8,416,49,87,136,414,'0:59',--,NaN,NaN,165,NaN,NaN,NaN,NaN,147,12,1,0,5,'L','C',2/6/67,Guelph,'ON','CAN','CAN',74,205,1986,7,140,19881989,1988,'N',416,49,87,136
Dave Archibald,'C',4/14/69,0,323,57,67,124,139,'0:25',--,NaN,NaN,63,NaN,NaN,NaN,NaN,61,1,0,0,1,'L','C',4/14/69,Chilliwack,'BC','CAN','CAN',73,211,1987,1,6,19871988,1987,'N',323,57,67,124
Vladimir Konstantinov,'D',3/19/67,14,446,47,128,175,838,'1:52',--,NaN,NaN,342,NaN,NaN,NaN,NaN,313,16,1,8,4,'R','D',3/19/67,Murmansk,'--','RUS','RUS',72,195,1989,11,221,19911992,1991,'N',446,47,128,175
Uwe Krupp,'D',6/24/65,14,729,69,212,281,660,'0:54',--,NaN,NaN,279,NaN,NaN,NaN,NaN,259,12,0,5,3,'R','D',6/24/65,Cologne,'--','DEU','DEU',78,240,1983,11,214,19861987,1986,'N',729,69,212,281
Paul Ranheim,'L',1/25/66,2,1013,161,199,360,288,'0:17',--,NaN,NaN,126,NaN,NaN,NaN,NaN,119,4,0,1,2,'R','L',1/25/66,St. Louis,'MO','USA','USA',73,210,1984,2,38,19881989,1988,'N',1013,161,199,360
Bob Kudelski,'R',3/3/64,1,442,139,102,241,218,'0:29',--,NaN,NaN,90,NaN,NaN,NaN,NaN,84,2,0,3,1,'R','R',3/3/64,Springfield,'MA','USA','USA',73,205,NaN,NaN,NaN,19871988,1987,'N',442,139,102,241
Vladimir Malakhov,'D',8/30/68,13,712,86,260,346,697,'0:58',--,NaN,NaN,283,NaN,NaN,NaN,NaN,256,17,0,3,7,'L','D',8/30/68,Sverdlovskurg,'--','RUS','RUS',76,230,1989,10,191,19921993,1992,'N',712,86,260,346
Normand Lacombe,'R',10/18/64,11,319,53,62,115,196,'0:36',--,NaN,NaN,70,NaN,NaN,NaN,NaN,57,10,0,3,0,'R','R',10/18/64,Pierrefonds,'QC','CAN','CAN',72,205,1983,1,10,19841985,1984,'N',319,53,62,115
Gord Murphy,'D',2/23/67,7,862,85,238,323,668,'0:46',--,NaN,NaN,282,NaN,NaN,NaN,NaN,263,10,0,3,6,'R','D',2/23/67,Willowdale,'ON','CAN','CAN',74,200,1985,9,189,19881989,1988,'N',862,85,238,323
Lance Pitlick,'D',11/5/67,12,393,16,33,49,298,'0:45',--,NaN,NaN,115,NaN,NaN,NaN,NaN,99,12,0,2,2,'R','D',11/5/67,Minneapolis,'MN','USA','USA',72,205,1986,9,180,19941995,1994,'N',393,16,33,49
Zarley Zalapski,'D',4/22/68,6,637,99,285,384,684,'1:04',--,NaN,NaN,309,NaN,NaN,NaN,NaN,296,8,0,1,4,'L','D',4/22/68,Edmonton,'AB','CAN','CAN',73,215,1986,1,4,19871988,1987,'N',637,99,285,384
Wade Campbell,'D',1/2/61,18,213,9,27,36,305,'1:25',--,NaN,NaN,118,NaN,NaN,NaN,NaN,99,17,0,1,1,'R','D',1/2/61,Peace River,'AB','CAN','CAN',76,220,NaN,NaN,NaN,19821983,1982,'N',213,9,27,36
Jason Woolley,'D',7/27/69,2,718,68,246,314,430,'0:35',--,NaN,NaN,208,NaN,NaN,NaN,NaN,205,2,0,1,0,'L','D',7/27/69,Toronto,'ON','CAN','CAN',72,207,1989,3,61,19911992,1991,'N',718,68,246,314
Paul Stanton,'D',6/22/67,2,295,14,49,63,262,'0:53',--,NaN,NaN,116,NaN,NaN,NaN,NaN,111,2,0,3,0,'R','D',6/22/67,Boston,'MA','USA','USA',73,200,1985,8,149,19901991,1990,'N',295,14,49,63
Michal Sykora,'D',7/5/73,0,267,15,54,69,185,'0:41',--,NaN,NaN,83,NaN,NaN,NaN,NaN,80,1,0,1,1,'L','D',7/5/73,Pardubice,'--','CZE','CZE',77,225,1992,6,123,19931994,1993,'N',267,15,54,69
Scott Young,'R',10/1/67,5,1181,342,415,757,448,'0:22',--,NaN,NaN,195,NaN,NaN,NaN,NaN,184,6,1,2,2,'R','R',10/1/67,Clinton,'MA','USA','USA',73,200,1986,1,11,19871988,1987,'N',1181,342,415,757
Valeri Kamensky,'L',4/18/66,0,637,200,301,501,383,'0:36',--,NaN,NaN,175,NaN,NaN,NaN,NaN,171,1,0,2,1,'R','L',4/18/66,Voskresensk,'--','RUS','RUS',74,205,1988,7,129,19911992,1991,'N',637,200,301,501
Bob Corkum,'C',12/18/67,3,720,97,103,200,281,'0:23',--,NaN,NaN,131,NaN,NaN,NaN,NaN,127,3,0,1,0,'R','C',12/18/67,Salisbury,'MA','USA','USA',72,222,1986,3,47,19891990,1989,'N',720,97,103,200
Shawn Burr,'L',7/1/66,15,878,181,259,440,1069,'1:13',--,NaN,NaN,409,NaN,NaN,NaN,NaN,366,19,0,18,6,'L','L',7/1/66,Sarnia,'ON','CAN','CAN',73,205,1984,1,7,19841985,1984,'N',878,181,259,440
Glen Wesley,'D',10/2/68,3,1457,128,409,537,1045,'0:43',--,NaN,NaN,488,NaN,NaN,NaN,NaN,478,3,0,4,3,'L','D',10/2/68,Red Deer,'AB','CAN','CAN',73,207,1987,1,3,19871988,1987,'N',1457,128,409,537
Jimmy Carson,'C',7/20/68,1,626,275,286,561,254,'0:24',--,NaN,NaN,110,NaN,NaN,NaN,NaN,105,2,0,2,1,'R','C',7/20/68,Southfield,'MI','USA','USA',73,200,1986,1,2,19861987,1986,'N',626,275,286,561
Mike Sullivan,'C',2/27/68,1,709,54,82,136,203,'0:17',--,NaN,NaN,100,NaN,NaN,NaN,NaN,99,1,0,0,0,'L','C',2/27/68,Marshfield,'MA','USA','USA',74,211,1987,4,69,19911992,1991,'N',709,54,82,136
Ted Drury,'C',9/13/71,10,414,41,52,93,367,'0:53',--,NaN,NaN,134,NaN,NaN,NaN,NaN,115,11,0,4,4,'L','C',9/13/71,Boston,'MA','USA','USA',72,206,1989,2,42,19931994,1993,'N',414,41,52,93
Mike Modano,'C',6/7/70,1,1499,561,813,1374,926,'0:37',--,NaN,NaN,419,NaN,NaN,NaN,NaN,406,4,0,7,2,'L','C',6/7/70,Livonia,'MI','USA','USA',75,212,1988,1,1,19891990,1989,'Y',1499,561,813,1374
Dennis Vaske,'D',10/11/67,1,235,5,41,46,253,'1:04',--,NaN,NaN,113,NaN,NaN,NaN,NaN,108,3,0,0,2,'L','D',10/11/67,Rockford,'IL','USA','USA',74,215,1986,2,38,19901991,1990,'N',235,5,41,46
Bobby Dollas,'D',1/31/65,7,646,42,96,138,467,'0:43',--,NaN,NaN,182,NaN,NaN,NaN,NaN,164,9,0,6,3,'L','D',1/31/65,Montreal,'QC','CAN','CAN',74,212,1983,1,14,19831984,1983,'N',646,42,96,138
Allen Pedersen,'D',1/13/65,12,428,5,36,41,487,'1:08',--,NaN,NaN,211,NaN,NaN,NaN,NaN,195,13,0,2,1,'L','D',1/13/65,Fort Saskatchewan,'AB','CAN','CAN',75,210,1983,5,102,19861987,1986,'N',428,5,36,41
Eddie Olczyk,'R',8/16/66,20,1031,342,452,794,874,'0:50',--,NaN,NaN,331,NaN,NaN,NaN,NaN,292,22,0,9,8,'L','R',8/16/66,Chicago,'IL','USA','USA',73,207,1984,1,3,19841985,1984,'N',1031,342,452,794
Tom Chorske,'R',9/18/66,3,596,115,122,237,225,'0:22',--,NaN,NaN,95,NaN,NaN,NaN,NaN,88,5,0,1,1,'R','R',9/18/66,Minneapolis,'MN','USA','USA',73,212,1985,1,16,19891990,1989,'N',596,115,122,237
Bill Berg,'L',10/21/67,11,546,55,67,122,488,'0:53',--,NaN,NaN,179,NaN,NaN,NaN,NaN,154,14,0,6,5,'L','L',10/21/67,St. Catharines,'ON','CAN','CAN',73,205,1986,3,59,19881989,1988,'N',546,55,67,122
David Volek,'L',8/16/66,3,396,95,154,249,201,'0:30',--,NaN,NaN,81,NaN,NaN,NaN,NaN,73,5,0,0,3,'L','L',8/16/66,Prague,'--','CZE','CZE',72,190,1984,10,209,19881989,1988,'N',396,95,154,249
Al Iafrate,'D',3/21/66,19,799,152,311,463,1301,'1:37',--,NaN,NaN,523,NaN,NaN,NaN,NaN,478,21,0,15,9,'L','D',3/21/66,Dearborn,'MI','USA','USA',75,240,1984,1,4,19841985,1984,'N',799,152,311,463
Joe Nieuwendyk,'C',9/10/66,3,1257,564,562,1126,677,'0:32',--,NaN,NaN,315,NaN,NaN,NaN,NaN,306,5,0,2,2,'L','C',9/10/66,Oshawa,'ON','CAN','CAN',74,209,1985,2,27,19861987,1986,'Y',1257,564,562,1126
Jyrki Lumme,'D',7/16/66,4,985,114,354,468,620,'0:37',--,NaN,NaN,295,NaN,NaN,NaN,NaN,289,4,0,2,0,'L','D',7/16/66,Tampere,'--','FIN','FIN',73,210,1986,3,57,19881989,1988,'N',985,114,354,468
Eric Weinrich,'D',12/19/66,12,1157,70,318,388,825,'0:42',--,NaN,NaN,349,NaN,NaN,NaN,NaN,325,13,0,10,1,'L','D',12/19/66,Roanoke,'VA','USA','USA',73,215,1985,2,32,19881989,1988,'N',1157,70,318,388
Bob Beers,'D',5/20/67,1,258,28,79,107,225,'0:52',--,NaN,NaN,79,NaN,NaN,NaN,NaN,70,1,0,4,4,'R','D',5/20/67,Pittsburgh,'PA','USA','USA',75,208,1985,10,210,19891990,1989,'N',258,28,79,107
Chris Kontos,'C',12/10/63,3,230,54,69,123,103,'0:26',--,NaN,NaN,46,NaN,NaN,NaN,NaN,43,3,0,0,0,'L','C',12/10/63,Toronto,'ON','CAN','CAN',73,195,1982,1,15,19821983,1982,'N',230,54,69,123
Chris Luongo,'D',3/17/67,6,218,8,23,31,176,'0:48',--,NaN,NaN,76,NaN,NaN,NaN,NaN,68,8,0,0,0,'R','D',3/17/67,Detroit,'MI','USA','USA',70,206,1985,5,92,19901991,1990,'N',218,8,23,31
Stephane Richer,'R',6/7/66,14,1054,421,398,819,614,'0:34',--,NaN,NaN,227,NaN,NaN,NaN,NaN,199,14,0,11,3,'R','R',6/7/66,Ripon,'QC','CAN','CAN',74,218,1984,2,29,19841985,1984,'N',1054,421,398,819
Walt Poddubny,'L',2/14/60,7,468,184,238,422,454,'0:58',--,NaN,NaN,191,NaN,NaN,NaN,NaN,177,8,0,4,2,'L','L',2/14/60,Thunder Bay,'ON','CAN','CAN',73,210,1980,5,90,19811982,1981,'N',468,184,238,422
Tony Amonte,'R',8/2/70,5,1174,416,484,900,752,'0:38',--,NaN,NaN,343,NaN,NaN,NaN,NaN,331,6,0,6,0,'L','R',8/2/70,Hingham,'MA','USA','USA',72,202,1988,4,68,19911992,1991,'N',1174,416,484,900
Michal Pivonka,'C',1/28/66,3,825,181,418,599,476,'0:34',--,NaN,NaN,219,NaN,NaN,NaN,NaN,211,6,0,0,2,'L','C',1/28/66,Kladno,'--','CZE','CZE',74,198,1984,3,59,19861987,1986,'N',825,181,418,599
Luc Robitaille,'L',2/17/66,5,1431,668,726,1394,1177,'0:49',--,NaN,NaN,521,NaN,NaN,NaN,NaN,499,9,1,9,3,'L','L',2/17/66,Montreal,'QC','CAN','CAN',73,215,1984,9,171,19861987,1986,'Y',1431,668,726,1394
Vladimir Ruzicka,'C',6/6/63,1,233,82,85,167,129,'0:33',--,NaN,NaN,63,NaN,NaN,NaN,NaN,62,1,0,0,0,'L','C',6/6/63,Most,'--','CZE','CZE',75,210,1982,4,73,19891990,1989,'N',233,82,85,167
Alain Cote,'L',4/14/67,4,696,103,190,293,383,'0:33',--,NaN,NaN,135,NaN,NaN,NaN,NaN,109,19,0,5,2,'R','D',4/14/67,Montmagny,'QC','CAN','CAN',72,200,1985,2,31,19851986,1985,'N',119,2,18,20
Phil Bourque,'L',6/8/62,18,477,88,111,199,516,'1:04',--,NaN,NaN,194,NaN,NaN,NaN,NaN,167,18,0,6,3,'L','L',6/8/62,Chelmsford,'MA','USA','USA',73,196,NaN,NaN,NaN,19831984,1983,'N',477,88,111,199
Craig Muni,'D',7/19/62,9,819,28,119,147,775,'0:56',--,NaN,NaN,345,NaN,NaN,NaN,NaN,329,9,0,3,4,'L','D',7/19/62,Toronto,'ON','CAN','CAN',75,208,1980,2,25,19811982,1981,'N',819,28,119,147
Shjon Podein,'L',3/5/68,13,699,100,106,206,439,'0:37',--,NaN,NaN,181,NaN,NaN,NaN,NaN,162,15,0,3,1,'L','L',3/5/68,Rochester,'MN','USA','USA',74,200,1988,8,166,19921993,1992,'N',699,100,106,206
Yuri Khmylev,'L',8/9/64,1,263,64,88,152,133,'0:30',--,NaN,NaN,65,NaN,NaN,NaN,NaN,64,1,0,0,0,'R','L',8/9/64,Moscow,'--','RUS','RUS',73,205,1992,5,108,19921993,1992,'N',263,64,88,152
